FIELD	SAMP1_RG1	SAMP1_RG2	SAMP1_RG3	SAMP2_RG1	SAMP2_RG2	SAMP2_RG3	SAMP3_RG1	SAMP3_RG2	SAMP3_RG3	SAMP4_RG1	SAMP4_RG2	SAMP4_RG3	SAMP5_RG1	SAMP5_RG2	SAMP5_RG3	SAMP6_RG1	SAMP6_RG2	SAMP6_RG3
AVG_GC	0.45	0.45	0.45	0.45	0.45	0.45	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.45	0.45	0.45
AggregateGenes	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053
AggregateGenes_NoReads	525	525	533	519	518	531	531	519	517	546	544	528	533	537	517	515	516	511
AggregateGenes_WithReads	528	528	520	534	535	522	522	534	536	507	509	525	520	516	536	538	537	542
SpliceLoci	9348	9374	9589	10705	10793	10966	9250	9233	9370	9202	9298	9456	9994	10072	10383	9492	9571	9667
SpliceLoci_Known	6807	6807	6807	6807	6807	6807	6807	6807	6807	6807	6807	6807	6807	6807	6807	6807	6807	6807
SpliceLoci_Known_NoReads	2784	2770	2768	2837	2856	2810	2877	2827	2793	2955	2972	2966	2830	2871	2746	2765	2778	2740
SpliceLoci_Known_FewReads	1356	1351	1308	1398	1418	1411	1419	1493	1437	1381	1329	1331	1340	1308	1293	1565	1595	1555
SpliceLoci_Known_ManyReads	2667	2686	2731	2572	2533	2586	2511	2487	2577	2471	2506	2510	2637	2628	2768	2477	2434	2512
SpliceLoci_Novel	2541	2567	2782	3898	3986	4159	2443	2426	2563	2395	2491	2649	3187	3265	3576	2685	2764	2860
SpliceLoci_Novel_FewReads	2277	2311	2482	3449	3520	3657	2203	2194	2302	2096	2229	2361	2847	2905	3145	2459	2520	2597
SpliceLoci_Novel_ManyReads	264	256	300	449	466	502	240	232	261	299	262	288	340	360	431	226	244	263
SpliceEvents	64247	64860	67644	64558	65093	68179	54979	55253	57803	63255	63663	66431	69531	70236	79275	53023	54569	56274
SpliceEvents_KnownLoci	58963	59523	61721	56114	56346	58771	50097	50444	52570	57651	58149	60434	62356	62960	70798	47741	49196	50704
SpliceEvents_KnownLociWithFewReads	2422	2450	2353	2529	2575	2572	2577	2688	2616	2474	2331	2325	2418	2280	2290	2799	2935	2854
SpliceEvents_KnownLociWithManyReads	56541	57073	59368	53585	53771	56199	47520	47756	49954	55177	55818	58109	59938	60680	68508	44942	46261	47850
SpliceEvents_NovelLoci	5284	5337	5923	8444	8747	9408	4882	4809	5233	5604	5514	5997	7175	7276	8477	5282	5373	5570
SpliceEvents_NovelLociWithFewReads	3002	3000	3298	4668	4759	4960	2867	2822	3032	2784	2927	3120	3762	3827	4196	3172	3218	3353
SpliceEvents_NovelLociWithManyReads	2282	2337	2625	3776	3988	4448	2015	1987	2201	2820	2587	2877	3413	3449	4281	2110	2155	2217
StrandTest_frFirstStrand	93545	95122	98307	89782	90141	94105	87042	87548	90777	101291	102335	106839	111349	112155	125878	87164	88481	92426
StrandTest_frSecondStrand	2050	2133	2227	7205	7485	7800	2373	2401	2490	1947	2169	2156	3529	3563	3960	2281	2408	2429
StrandTest_ambig_genesFountOnBothStrands	476	454	445	403	425	406	409	403	473	374	428	413	487	522	567	359	370	425
StrandTest_ambig_noGenes	158565	159742	166359	169989	172138	181412	162031	164168	172142	159566	161969	170315	173458	175508	197377	144553	145934	152837
StrandTest_ambig_other	0	0	1	3	1	1	1	0	0	2	0	1	0	0	0	0	0	0
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NumberOfChromosomesCovered	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
deletionLoci	1978	1965	2090	2036	2054	2262	2020	2030	2153	1997	1979	2222	2276	2268	2557	1967	2069	2165
insertionLoci	1335	1334	1359	1492	1449	1672	1527	1462	1619	1487	1504	1573	1686	1705	1932	1547	1528	1510
deletionEventCt	2989	3006	3169	3062	3183	3519	3071	3062	3289	3184	3137	3423	3631	3701	4116	2801	2888	3102
insertionEventCt	2009	2013	2100	2137	2136	2390	2160	2068	2385	2200	2213	2313	2543	2570	3023	2192	2125	2188
highCoverageDeletionLoci	39	37	38	39	40	49	44	37	49	49	46	49	50	57	63	34	32	36
highCoverageInsertionLoci	22	14	19	16	17	19	18	18	21	26	26	26	27	26	34	18	18	19
PAIR_CONTAINS_DEL	2953	2971	3114	3016	3148	3463	3032	3028	3245	3149	3078	3373	3589	3634	4056	2764	2844	3057
PAIR_CONTAINS_INS	2038	2038	2198	2123	2112	2341	2106	2041	2320	2205	2216	2341	2599	2551	3074	2109	2034	2169
PAIR_CONTAINS_INS_AND_DEL	64	42	40	64	72	73	59	59	67	58	62	59	65	79	86	63	48	55
PAIR_CONTAINS_INDEL	4927	4967	5272	5075	5188	5731	5079	5010	5498	5296	5232	5655	6123	6106	7044	4810	4830	5171
PAIR_CONTAINS_NO_INDEL	249709	252484	262067	262307	265002	277993	246777	249510	260384	257884	261669	274069	282700	285642	320738	229547	232363	242946
READ_CONTAINS_DEL_R1	1631	1660	1685	1710	1744	1897	1416	1399	1545	1640	1582	1734	1848	1894	2046	1315	1385	1460
READ_CONTAINS_INS_R1	1192	1204	1299	1253	1256	1391	1007	1014	1069	1164	1175	1265	1381	1361	1588	1004	1008	1098
READ_CONTAINS_NO_INDEL_R1	251832	254594	264364	264438	267206	280448	249439	252120	263276	260390	264152	276738	285610	288508	324161	232049	234811	245568
READ_CONTAINS_DEL_R2	1322	1311	1429	1306	1404	1566	1616	1629	1700	1509	1496	1639	1741	1740	2010	1449	1459	1597
READ_CONTAINS_INS_R2	846	834	899	870	856	950	1099	1027	1251	1041	1041	1076	1218	1190	1486	1105	1026	1071
READ_CONTAINS_NO_INDEL_R2	252482	255321	265024	265221	267953	281230	249172	251885	262959	260643	264384	277029	285879	288848	324318	231825	234722	245466
OM_noOverlap_staggered	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM_noOverlap_normal	32677	32781	34279	34018	34638	36404	16428	16919	17623	21689	21985	22876	21132	21227	23662	16064	16293	17127
OM_overlap	221959	224670	233059	233364	235552	247320	235427	237601	248259	241491	244916	256848	267691	270519	304120	218293	220900	230989
OM_BAD_OVERLAP	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1
OM_overlap_Match	194263	196645	217660	205109	206734	230978	206504	208686	231527	211841	214573	239611	233288	235930	282967	190731	193091	214738
OM_overlap_mismatch	27696	28025	15399	28255	28818	16342	28923	28915	16732	29650	30343	17237	34403	34589	21153	27562	27809	16251
NumReadsAtMaxReadLength_R1	254636	257451	267339	267382	270190	283724	251856	254520	265882	263180	266901	279724	288823	291748	327782	234357	237193	248117
NumReadsAtMaxReadLength_R2	254636	257451	267339	267382	270190	283724	251856	254520	265882	263180	266901	279724	288823	291748	327782	234357	237193	248117
NumReadsTruncated_R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_25pct_R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_25pct_R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_50pct_R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_50pct_R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_75pct_R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_75pct_R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
READ_LENGTH	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101
COMPLETED_WITHOUT_WARNING	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
QoRTs_initTimeStamp	1695543536675	1695543604888	1695543664707	1695543726395	1695543784883	1695543855907	1695543932252	1695543987867	1695544048015	1695544109343	1695544177159	1695544235675	1695544298831	1695544367407	1695544434451	1695544511335	1695544586863	1695544643807
QoRTs_samDoneTimeStamp	1695543587914	1695543651098	1695543712861	1695543772425	1695543836658	1695543900652	1695543977397	1695544037888	1695544096014	1695544160881	1695544222578	1695544284971	1695544354451	1695544422028	1695544491890	1695544558238	1695544633689	1695544689085
QoRTs_majorVer	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
QoRTs_minorVer	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
QoRTs_patchVer	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
QoRTs_compileTimeStamp	1488914523	1488914523	1488914523	1488914523	1488914523	1488914523	1488914523	1488914523	1488914523	1488914523	1488914523	1488914523	1488914523	1488914523	1488914523	1488914523	1488914523	1488914523
COMPLETED_WITHOUT_ERROR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SpliceLoci_Known_Covered	4023	4037	4039	3970	3951	3997	3930	3980	4014	3852	3835	3841	3977	3936	4061	4042	4029	4067
SpliceLoci_Novel_Covered	2541	2567	2782	3898	3986	4159	2443	2426	2563	2395	2491	2649	3187	3265	3576	2685	2764	2860
SpliceLoci_Covered	6564	6604	6821	7868	7937	8156	6373	6406	6577	6247	6326	6490	7164	7201	7637	6727	6793	6927
InsertSize_Mean	1010.7	1070.76	1093.45	1041.39	1045.37	1076.3	1543.82	1689.79	1684.43	1072.58	1018.44	1030.18	901.89	935.75	961.2	1445.93	1477.67	1521.47
InsertSize_Median	140	140	140	139	139	139	130	130	129	134	134	133	133	133	133	130	130	130
GC_byPair_Mean	90.85	90.88	90.89	90.37	90.35	90.36	88.84	88.88	88.9	89.84	89.82	89.8	89.74	89.68	89.77	90.12	90.08	90.14
GC_byPair_Median	92	92	92	91	91	91	90	90	90	91	91	91	91	90	91	91	91	91
GC_byRead_Mean	45.42	45.44	45.45	45.18	45.18	45.18	44.42	44.44	44.45	44.92	44.91	44.9	44.87	44.84	44.89	45.06	45.04	45.07
GC_byRead_Median	46	46	46	46	46	46	45	45	45	45	45	45	45	45	45	45	45	45
GeneBodyCoverage_Overall_Mean	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.51	0.51	0.51	0.51	0.51	0.51	0.5	0.5
GeneBodyCoverage_Overall_Median	0.49	0.49	0.49	0.49	0.49	0.49	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51
GeneBodyCoverage_LowExpress_Mean	0.5	0.49	0.49	0.48	0.5	0.49	0.49	0.49	0.49	0.49	0.49	0.5	0.49	0.51	0.5	0.48	0.49	0.49
GeneBodyCoverage_LowExpress_Median	0.49	0.49	0.49	0.46	0.49	0.49	0.46	0.49	0.46	0.49	0.49	0.49	0.49	0.49	0.49	0.46	0.49	0.49
GeneBodyCoverage_UMQuartile_Mean	0.48	0.48	0.47	0.49	0.48	0.48	0.5	0.5	0.5	0.49	0.49	0.49	0.49	0.48	0.48	0.48	0.48	0.48
GeneBodyCoverage_UMQuartile_Median	0.49	0.46	0.46	0.46	0.46	0.46	0.51	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.46	0.49	0.46	0.46
geneDiversityProfile_top1count	5907	5973	6165	4940	4953	5058	4681	4759	4992	5902	6063	6255	6065	6076	6808	4498	4699	4822
geneDiversityProfile_top10count	22287	22489	23157	21859	21839	22978	19702	20055	20562	27064	27180	28577	29636	29971	33535	22407	23235	24033
geneDiversityProfile_top100count	72423	73495	75833	70320	70754	73779	66863	67371	69732	81341	82154	85908	88363	88985	99793	66513	67921	70675
geneDiversityProfile_top1000count	96331	97879	101261	92642	93104	97203	89260	89757	93115	103915	105046	109557	114283	115132	129189	89158	90526	94582
geneDiversityProfile_top1pct	0.06	0.06	0.06	0.05	0.05	0.05	0.05	0.05	0.05	0.06	0.06	0.06	0.05	0.05	0.05	0.05	0.05	0.05
geneDiversityProfile_top10pct	0.23	0.23	0.23	0.24	0.23	0.24	0.22	0.22	0.22	0.26	0.26	0.26	0.26	0.26	0.26	0.25	0.26	0.25
geneDiversityProfile_top100pct	0.75	0.75	0.75	0.76	0.76	0.76	0.75	0.75	0.75	0.78	0.78	0.78	0.77	0.77	0.77	0.75	0.75	0.75
geneDiversityProfile_top1000pct	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
input.read.pair.count	465298	472241	500691	461405	467713	492322	485397	489859	516906	460968	468391	484530	469884	475001	494213	452429	458810	477751
total.aligned.rate	0.66	0.65	0.64	0.67	0.67	0.67	0.65	0.65	0.64	0.66	0.66	0.67	0.71	0.71	0.76	0.64	0.63	0.64
aligned.and.pf.rate	0.55	0.55	0.53	0.58	0.58	0.58	0.52	0.52	0.51	0.57	0.57	0.58	0.61	0.61	0.66	0.52	0.52	0.52
overlapMismatchRate.byMinQual.noIndel_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
overlapMismatchRate.byMinQual.noIndel_5	32.9770729184623	32.3100150981379	38.6469909516002	32.6225124162123	32.9910532736885	39.8810198300283	32.2562378340117	32.0155300472654	38.3030518940743	32.5742102396514	32.6294009458749	38.6006199058661	32.3735588899832	32.5873846065906	38.6953092376931	32.2295231279682	32.0417662599069	37.9627037016296
overlapMismatchRate.byMinQual.noIndel_6	21.745524620924	21.8646947137004	26.4830082445204	22.0618760502125	22.2070645554202	26.6809063893016	20.9989183087993	21.0496877039247	26.432833122401	21.3957717663105	21.3630928656835	26.337520864447	21.102733988272	20.9314593616941	25.663218633453	21.0562617006602	20.8651647121795	25.6778160812448
overlapMismatchRate.byMinQual.noIndel_7	17.1953821116483	16.9480638219063	20.2072538860104	17.3282077265269	17.0651732080755	20.6940225141045	17.1001579331966	17.0580325289522	20.0966051492367	16.9822978775989	16.9720322328731	19.6670959209244	17.281484962406	16.9599099585944	19.9111603107988	17.2181096292849	17.0455512179445	19.9198604979038
overlapMismatchRate.byMinQual.noIndel_8	11.4564306083026	11.3901037428804	13.3698749215241	11.4849348074341	11.6033445797272	14.1240157480315	11.4495212287513	11.5153500350148	13.7459642813356	11.6782407407407	11.2784832928037	13.6492598684211	11.6137285865633	11.3755819918884	13.5488204181009	11.4821648216482	11.2282348411008	13.5310831754779
overlapMismatchRate.byMinQual.noIndel_9	9.30351993047051	8.92350157728707	10.5267510129827	9.22390187178814	8.66382164667795	11.1807264861639	9.11426512516841	9.04589601980575	10.4441470719429	9.26756845925437	8.78820781100911	10.6339196813807	9.36951454634399	8.73943382311227	10.309053183357	8.88849744583407	8.60315483603155	10.8683512494765
overlapMismatchRate.byMinQual.noIndel_10	8.24272601022931	7.7623399123552	10.1883360713448	8.41658131999127	8.11195678860791	10.8658978400951	8.47300122797119	8.09426394549057	10.144077734964	8.06398078047701	7.96298870815762	9.60943335823285	8.34481006565137	8.10564181236279	10.1374570446735	8.05539334278802	8.28391792439036	9.8399181619619
overlapMismatchRate.byMinQual.noIndel_11	3.32159172216413	3.33706240279407	3.7299601519785	3.38441890166028	3.36584482446382	4.12460842325096	3.25764799876292	3.24397726701202	3.77472055030095	3.23488045007032	3.3322816299784	3.61536530253578	3.29552290109135	3.17773901347176	3.62855500321261	3.46779511980655	3.1672491804167	4.05602037104402
overlapMismatchRate.byMinQual.noIndel_12	4.15401195258156	4.38830432041895	5.29686141196933	4.05622111121592	4.15530694744759	6.20633268916307	3.6541889483066	3.87331763869764	5.37820957668286	3.76421090323158	3.77521863364793	5.59192200557103	3.985182296744	3.88123497309468	5.83319022268018	4.03320358298551	4.23784187435826	5.35727213494534
overlapMismatchRate.byMinQual.noIndel_13	2.33511740331492	2.462991860318	2.40282443271406	2.20474993920726	2.46075604677239	2.67732849881835	2.0647565450501	2.28845030066542	2.69051731709459	2.37486647337098	2.1815557693731	2.72439219402411	2.17933569646843	2.19825864685678	2.43831499345581	2.30865953455775	2.20701697392999	2.5471847739889
overlapMismatchRate.byMinQual.noIndel_14	2.56812669425025	2.39673988119906	3.7566861549944	2.39130434782609	2.21902205930484	3.5799522673031	2.05424191646497	2.19874183106334	2.99894403379092	2.19814434273616	2.22707688573336	3.27571489543321	2.38336443615036	2.17582759156608	3.03055883842647	2.15103580647296	2.17348737027609	3.18012999071495
overlapMismatchRate.byMinQual.noIndel_15	3.14643104821103	3.06304495313717	4.61049284578696	3.07947352557018	3.22942923457037	5.10451133887499	2.86576880439654	2.77939025239743	4.49068154519741	2.77471819268356	3.07310511179145	4.51615378712301	3.09543230016313	2.97965407921666	4.47072849344293	2.83126515475681	2.86400074571216	4.45546472434233
overlapMismatchRate.byMinQual.noIndel_16	1.68875032475968	1.88447009889224	2.62816105126442	1.81757545439386	1.78028484557529	3.01873453517144	1.64580963215776	1.72554549502746	2.91552454522801	1.77127599563762	1.72318973418882	2.58764607679466	1.73005810882198	1.72985858325548	2.6865671641791	1.73398776955262	1.85375494071146	2.77122641509434
overlapMismatchRate.byMinQual.noIndel_17	1.86629400892575	1.80646594822797	2.89315726290516	1.86803845063975	1.97400504632869	3.22825098514701	1.8414766558089	1.89339630597959	2.7384671935306	1.82247442322827	1.79052480200928	2.65389391520312	1.96561965619656	1.90610660077656	2.81528953994049	1.90817065940581	1.7852517053795	2.6103589243521
overlapMismatchRate.byMinQual.noIndel_18	1.3788540426095	1.34454362421907	2.20944253779798	1.39615008827714	1.40408354297081	2.38629735032613	1.35967056367086	1.30688694493855	2.02141122550193	1.39629429463342	1.38414820743391	2.11118464592985	1.41777470706843	1.37285704528379	2.15190044089689	1.42310231023102	1.37647601633657	2.16253492237507
overlapMismatchRate.byMinQual.noIndel_19	1.48397607020138	1.42461362957329	2.37277129947783	1.57298881193394	1.48832269012059	2.54342431761787	1.50058556297698	1.4482158837394	2.19629025682837	1.57624951905773	1.46392812553551	2.17322834645669	1.58529124494199	1.48665366631021	2.35903675936648	1.44903962154176	1.45098501828477	2.43130595862921
overlapMismatchRate.byMinQual.noIndel_20	1.05671753698121	1.05095516899144	1.54903185509057	1.08275210915847	1.1013578179208	1.84141003903632	0.965045082670207	0.971835844887953	1.59982353933386	0.965924335927019	1.02000452079566	1.51950512566345	1.06849056009077	1.0187390771642	1.53203199605697	0.994632267339652	1.02666717974372	1.62904258725584
overlapMismatchRate.byMinQual.noIndel_21	0.584099027250466	0.607909406136154	0.713537829138713	0.58068330588285	0.647343802205145	0.80850910920263	0.568744798065871	0.58155526739754	0.720292252550317	0.5964689040878	0.596922361331835	0.79991865234044	0.627611435704503	0.609015453134489	0.83671540557069	0.646588760955491	0.532874763815468	0.808684248870756
overlapMismatchRate.byMinQual.noIndel_22	0.588641196434355	0.553114004463247	0.619158878504673	0.503555692456039	0.570144900881491	0.713008442925372	0.46877087305539	0.482005141388175	0.590889774773863	0.493447763245012	0.502646463912406	0.66931085770947	0.556436184749932	0.482175405875122	0.628472692776799	0.55102342521537	0.4939619649287	0.731265416602999
overlapMismatchRate.byMinQual.noIndel_23	0.670740928540293	0.633941871340978	0.873809453164407	0.650892628342018	0.673192052314726	1.12349950873596	0.633231386395471	0.582748685559878	0.854313458870713	0.636231453290811	0.634983393958564	0.846733265665901	0.65701175594297	0.631718481390195	0.91476632272609	0.632834788622806	0.64873631571834	0.983073190570351
overlapMismatchRate.byMinQual.noIndel_24	0.576481863328783	0.522117373685851	0.905593744087785	0.586135533425004	0.57874166393353	1.00280248568295	0.56059477576209	0.516716731066209	0.803977693895471	0.543272432841863	0.494704169466577	0.819902918088545	0.565787821003231	0.571731074642668	0.886224664427978	0.555256780069425	0.502314452925863	0.924111225932129
overlapMismatchRate.byMinQual.noIndel_25	0.458500763387379	0.453674533429135	0.751460172610852	0.463040877685341	0.469523042473913	0.806875231427661	0.433109397765368	0.447130802054455	0.732428041049645	0.477496177467989	0.443484954982093	0.688623236207424	0.504619784819696	0.461548581368493	0.79901417774952	0.453344471403162	0.483014522423389	0.814022475047114
overlapMismatchRate.byMinQual.noIndel_26	0.261589182189609	0.289789974715825	0.321653701282732	0.253035721858611	0.272021263341501	0.410320135830114	0.262930978168563	0.236953855168395	0.300075018754689	0.233701610309129	0.260598310470433	0.327082798184776	0.264793046406004	0.265014647046084	0.355067023622345	0.267692519461137	0.253312135665077	0.375120112351245
overlapMismatchRate.byMinQual.noIndel_27	0.36577244063352	0.364211629338366	0.559309756746101	0.356656247495392	0.367137507003627	0.633583401507371	0.33312522935124	0.306112882055128	0.545110138717709	0.344851987262649	0.333539678286659	0.584795321637427	0.361043827978612	0.355625440458199	0.619149603357285	0.344523635630997	0.345182819953227	0.601868102702842
overlapMismatchRate.byMinQual.noIndel_28	0.222690453960483	0.200219753387865	0.189167952038648	0.19182846591011	0.199401215010319	0.241472428825541	0.188661806042615	0.193712136253146	0.227194027077474	0.174948674363672	0.234253834223677	0.23971706633579	0.209023756259699	0.218684936467023	0.251776422536787	0.205690571409614	0.224396059044213	0.24783371623944
overlapMismatchRate.byMinQual.noIndel_29	0.232973500158575	0.234917941857809	0.36162834622943	0.218728452507614	0.229805247891772	0.391449576603609	0.226926893814092	0.224861947736894	0.34016401463997	0.230449084143073	0.220288461943851	0.339108360020671	0.258964371853726	0.250563252718957	0.384434013822136	0.238933811518899	0.24216771328453	0.384311813249253
