chrom	strand	start	end	CT	junctionID	geneIDs
chr14	+	106379270	106379882	2	orphan_100	NO_KNOWN_GENE
chr14	+	106379972	106380613	2	orphan_110	NO_KNOWN_GENE
chr14	+	106380727	106381150	1	orphan_140	NO_KNOWN_GENE
chr14	+	106381327	106384361	0	orphan_289	NO_KNOWN_GENE
chr14	+	106384484	106385958	10	orphan_279	NO_KNOWN_GENE
chr14	+	106386134	106387706	1	orphan_218	NO_KNOWN_GENE
chr14	+	106387803	106388478	0	orphan_189	NO_KNOWN_GENE
chr14	+	107749415	107749455	3	orphan_160	NO_KNOWN_GENE
chr14	+	107749575	107749655	4	orphan_256	NO_KNOWN_GENE
chr14	-	107770117	107771083	1	orphan_224	NO_KNOWN_GENE
chr14	+	107803003	107803365	22	orphan_92	NO_KNOWN_GENE
chr14	+	107803761	107803898	4	orphan_280	NO_KNOWN_GENE
chr14	+	108060768	108078798	12	orphan_47	NO_KNOWN_GENE
chr14	+	108078886	108093419	35	orphan_95	NO_KNOWN_GENE
chr14	+	108093840	108118391	91	orphan_11	NO_KNOWN_GENE
chr14	+	108118442	108118584	31	orphan_186	NO_KNOWN_GENE
chr14	+	108118734	108123360	32	orphan_323	NO_KNOWN_GENE
chr14	+	108123428	108126974	20	orphan_274	NO_KNOWN_GENE
chr14	+	108127167	108128962	47	orphan_232	NO_KNOWN_GENE
chr14	+	108129024	108131986	68	orphan_38	NO_KNOWN_GENE
chr14	+	108132068	108132148	43	orphan_220	NO_KNOWN_GENE
chr14	+	108132241	108140537	41	orphan_118	NO_KNOWN_GENE
chr14	+	108140663	108140817	34	orphan_190	NO_KNOWN_GENE
chr14	+	108140947	108142745	24	orphan_68	NO_KNOWN_GENE
chr14	+	108140947	108143176	13	orphan_134	NO_KNOWN_GENE
chr14	+	108142781	108143176	23	orphan_316	NO_KNOWN_GENE
chr14	+	108143307	108143686	47	orphan_210	NO_KNOWN_GENE
chr14	-	113552574	113565353	2	orphan_242	NO_KNOWN_GENE
chr14	-	113565546	113568976	10	orphan_180	NO_KNOWN_GENE
chr14	-	113569092	113569594	9	orphan_285	NO_KNOWN_GENE
chr14	+	113619354	113619788	5	orphan_149	NO_KNOWN_GENE
chr14	+	113622693	113626320	0	orphan_26	NO_KNOWN_GENE
chr14	+	113626372	113627823	2	orphan_52	NO_KNOWN_GENE
chr14	+	113771807	113771903	40	orphan_265	NO_KNOWN_GENE
chr14	+	113772004	113812792	48	orphan_80	NO_KNOWN_GENE
chr14	+	113812900	113832263	22	orphan_191	NO_KNOWN_GENE
chr14	+	113832334	113834543	22	orphan_318	NO_KNOWN_GENE
chr14	+	113834602	113838630	28	orphan_22	NO_KNOWN_GENE
chr14	+	113838714	113839751	27	orphan_30	NO_KNOWN_GENE
chr14	+	113839892	113851980	33	orphan_12	NO_KNOWN_GENE
chr14	+	113852153	113857298	61	orphan_10	NO_KNOWN_GENE
chr14	+	113857380	113865168	25	orphan_267	NO_KNOWN_GENE
chr14	+	113966760	113966955	12	orphan_325	NO_KNOWN_GENE
chr14	+	113967087	113967356	3	orphan_321	NO_KNOWN_GENE
chr14	+	113967442	113967757	1	orphan_198	NO_KNOWN_GENE
chr14	-	114173238	114173494	2	orphan_133	NO_KNOWN_GENE
chr14	+	114539542	114539706	0	orphan_269	NO_KNOWN_GENE
chr14	+	114540388	114542419	3	orphan_25	NO_KNOWN_GENE
chrX	-	1387903	1387992	5	orphan_174	NO_KNOWN_GENE
chrX	-	1723502	1723665	8	orphan_194	NO_KNOWN_GENE
chrX	-	1723766	1723861	9	orphan_2	NO_KNOWN_GENE
chrX	-	1723963	1724327	8	orphan_88	NO_KNOWN_GENE
chrX	-	1724734	1724962	12	orphan_31	NO_KNOWN_GENE
chrX	-	1725051	1726105	18	orphan_51	NO_KNOWN_GENE
chrX	-	1727600	1729686	17	orphan_121	NO_KNOWN_GENE
chrX	-	1729883	1730121	8	orphan_50	NO_KNOWN_GENE
chrX	-	1730287	1732721	8	orphan_135	NO_KNOWN_GENE
chrX	-	1732877	1732984	9	orphan_29	NO_KNOWN_GENE
chrX	-	1733529	1733656	11	orphan_60	NO_KNOWN_GENE
chrX	-	1733803	1734037	10	orphan_298	NO_KNOWN_GENE
chrX	-	1734957	1735195	9	orphan_175	NO_KNOWN_GENE
chrX	-	1736848	1736990	6	orphan_37	NO_KNOWN_GENE
chrX	+	1789133	1789301	24	orphan_73	NO_KNOWN_GENE
chrX	-	10403287	10403495	5	orphan_250	NO_KNOWN_GENE
chrX	-	10403649	10403990	9	orphan_181	NO_KNOWN_GENE
chrX	-	10404108	10404196	10	orphan_152	NO_KNOWN_GENE
chrX	-	10404378	10404579	6	orphan_283	NO_KNOWN_GENE
chrX	-	10404724	10405245	12	orphan_229	NO_KNOWN_GENE
chrX	-	10405390	10405805	4	orphan_262	NO_KNOWN_GENE
chrX	-	10405966	10406075	8	orphan_49	NO_KNOWN_GENE
chrX	-	10407132	10407353	11	orphan_58	NO_KNOWN_GENE
chrX	-	10407453	10407529	12	orphan_182	NO_KNOWN_GENE
chrX	-	10407688	10408543	12	orphan_226	NO_KNOWN_GENE
chrX	-	10408676	10409806	13	orphan_0	NO_KNOWN_GENE
chrX	-	10409854	10410652	17	orphan_103	NO_KNOWN_GENE
chrX	-	10410710	10413863	6	orphan_326	NO_KNOWN_GENE
chrX	-	10526463	10527710	13	orphan_169	NO_KNOWN_GENE
chrX	-	10527806	10528565	18	orphan_85	NO_KNOWN_GENE
chrX	-	10529328	10532075	10	orphan_65	NO_KNOWN_GENE
chrX	-	10532164	10532251	20	orphan_207	NO_KNOWN_GENE
chrX	-	10532472	10532826	13	orphan_245	NO_KNOWN_GENE
chrX	-	10535014	10535746	4	orphan_155	NO_KNOWN_GENE
chrX	-	10538591	10539405	9	orphan_14	NO_KNOWN_GENE
chrX	-	10539547	10541440	5	orphan_75	NO_KNOWN_GENE
chrX	-	10544804	10547695	10	orphan_102	NO_KNOWN_GENE
chrX	-	10547916	10550065	7	orphan_40	NO_KNOWN_GENE
chrX	-	10551263	10552037	18	orphan_145	NO_KNOWN_GENE
chrX	-	10552184	10552380	13	orphan_208	NO_KNOWN_GENE
chrX	-	10552489	10554553	14	orphan_204	NO_KNOWN_GENE
chrX	-	10554720	10556199	5	orphan_172	NO_KNOWN_GENE
chrX	-	10556325	10557556	6	orphan_139	NO_KNOWN_GENE
chrX	-	10557682	10559931	10	orphan_200	NO_KNOWN_GENE
chrX	-	10560210	10560386	9	orphan_193	NO_KNOWN_GENE
chrX	-	10560517	10563366	9	orphan_192	NO_KNOWN_GENE
chrX	-	10563487	10564265	8	orphan_113	NO_KNOWN_GENE
chrX	-	10564415	10564893	12	orphan_329	NO_KNOWN_GENE
chrX	-	10565134	10567594	12	orphan_83	NO_KNOWN_GENE
chrX	-	10568439	10569690	8	orphan_257	NO_KNOWN_GENE
chrX	-	10570033	10571429	4	orphan_233	NO_KNOWN_GENE
chrX	-	10584058	10584791	5	orphan_8	NO_KNOWN_GENE
chrX	-	10586896	10588373	4	orphan_310	NO_KNOWN_GENE
chrX	-	10588526	10590466	6	orphan_284	NO_KNOWN_GENE
chrX	-	10590605	10590679	8	orphan_254	NO_KNOWN_GENE
chrX	-	10590931	10591281	4	orphan_176	NO_KNOWN_GENE
chrX	-	10591397	10595281	14	orphan_9	NO_KNOWN_GENE
chrX	-	10596726	10602004	6	orphan_105	NO_KNOWN_GENE
chrX	-	10602084	10604169	4	orphan_222	NO_KNOWN_GENE
chrX	-	10604315	10606709	13	orphan_275	NO_KNOWN_GENE
chrX	-	11138112	11145559	13	orphan_59	NO_KNOWN_GENE
chrX	-	11145679	11147140	6	orphan_292	NO_KNOWN_GENE
chrX	-	11147290	11147983	9	orphan_320	NO_KNOWN_GENE
chrX	-	11148037	11149061	6	orphan_296	NO_KNOWN_GENE
chrX	-	11149199	11149357	12	orphan_270	NO_KNOWN_GENE
chrX	-	13262512	13262783	15	orphan_225	NO_KNOWN_GENE
chrX	-	13262859	13267455	5	orphan_240	NO_KNOWN_GENE
chrX	+	15452377	15452561	6	orphan_122	NO_KNOWN_GENE
chrX	-	15696112	15698838	36	orphan_205	NO_KNOWN_GENE
chrX	-	15699166	15703143	27	orphan_309	NO_KNOWN_GENE
chrX	-	15703335	15704016	28	orphan_202	NO_KNOWN_GENE
chrX	-	15704215	15707299	25	orphan_301	NO_KNOWN_GENE
chrX	-	15713017	15713253	5	orphan_303	NO_KNOWN_GENE
chrX	-	15715192	15715823	7	orphan_201	NO_KNOWN_GENE
chrX	-	15719739	15719986	5	orphan_150	NO_KNOWN_GENE
chrX	-	15720466	15720656	5	orphan_273	NO_KNOWN_GENE
chrX	-	15720677	15721430	7	orphan_87	NO_KNOWN_GENE
chrX	-	15721514	15721767	6	orphan_164	NO_KNOWN_GENE
chrX	-	15722880	15722978	15	orphan_215	NO_KNOWN_GENE
chrX	-	15726038	15726123	7	orphan_36	NO_KNOWN_GENE
chrX	-	15726741	15726828	3	orphan_259	NO_KNOWN_GENE
chrX	-	15727966	15728128	12	orphan_106	NO_KNOWN_GENE
chrX	-	15729630	15730716	10	orphan_144	NO_KNOWN_GENE
chrX	-	15730798	15730919	8	orphan_46	NO_KNOWN_GENE
chrX	-	15733987	15734096	9	orphan_317	NO_KNOWN_GENE
chrX	+	25043637	25045215	7	orphan_148	NO_KNOWN_GENE
chrX	+	25064537	25070384	10	orphan_57	NO_KNOWN_GENE
chrX	+	25070601	25078523	6	orphan_260	NO_KNOWN_GENE
chrX	+	28593451	28594452	23	orphan_227	NO_KNOWN_GENE
chrX	+	28594567	28594963	68	orphan_251	NO_KNOWN_GENE
chrX	-	33649120	33649635	10	orphan_332	NO_KNOWN_GENE
chrX	-	33653215	33653316	12	orphan_179	NO_KNOWN_GENE
chrX	-	33653443	33654133	13	orphan_20	NO_KNOWN_GENE
chrX	-	33655254	33656360	5	orphan_173	NO_KNOWN_GENE
chrX	-	33656534	33657094	6	orphan_252	NO_KNOWN_GENE
chrX	+	37341023	37341642	5	orphan_67	NO_KNOWN_GENE
chrX	-	63270399	63273928	16	orphan_35	NO_KNOWN_GENE
chrX	-	63274101	63275047	12	orphan_213	NO_KNOWN_GENE
chrX	-	63275217	63277939	8	orphan_230	NO_KNOWN_GENE
chrX	-	63278084	63279210	13	orphan_291	NO_KNOWN_GENE
chrX	-	63279305	63281729	12	orphan_76	NO_KNOWN_GENE
chrX	-	63283491	63284434	10	orphan_79	NO_KNOWN_GENE
chrX	-	63288153	63288238	11	orphan_305	NO_KNOWN_GENE
chrX	-	63805520	63805736	15	orphan_117	NO_KNOWN_GENE
chrX	-	63805828	63805977	15	orphan_69	NO_KNOWN_GENE
chrX	-	63806057	63806210	7	orphan_108	NO_KNOWN_GENE
chrX	-	63806274	63806369	9	orphan_151	NO_KNOWN_GENE
chrX	+	68629333	68629542	6	orphan_19	NO_KNOWN_GENE
chrX	+	68629621	68630119	4	orphan_114	NO_KNOWN_GENE
chrX	-	70460574	70460904	4	orphan_64	NO_KNOWN_GENE
chrX	+	71325204	71331453	7	orphan_53	NO_KNOWN_GENE
chrX	+	71335546	71336696	8	orphan_63	NO_KNOWN_GENE
chrX	+	71336792	71337057	12	orphan_127	NO_KNOWN_GENE
chrX	+	71337254	71338067	9	orphan_281	NO_KNOWN_GENE
chrX	+	71338152	71338515	10	orphan_307	NO_KNOWN_GENE
chrX	+	71338618	71339112	10	orphan_165	NO_KNOWN_GENE
chrX	+	71544044	71544823	11	orphan_157	NO_KNOWN_GENE
chrX	+	71562593	71564473	3	orphan_131	NO_KNOWN_GENE
chrX	+	71573456	71573568	6	orphan_221	NO_KNOWN_GENE
chrX	+	71573685	71573778	9	orphan_235	NO_KNOWN_GENE
chrX	+	71573949	71575169	13	orphan_158	NO_KNOWN_GENE
chrX	+	71580358	71583670	6	orphan_248	NO_KNOWN_GENE
chrX	-	72074303	72074693	34	orphan_184	NO_KNOWN_GENE
chrX	-	72074851	72075608	15	orphan_211	NO_KNOWN_GENE
chrX	-	72075780	72076562	21	orphan_107	NO_KNOWN_GENE
chrX	-	72076660	72077028	35	orphan_96	NO_KNOWN_GENE
chrX	-	72077209	72077512	14	orphan_311	NO_KNOWN_GENE
chrX	-	76877650	76878499	8	orphan_7	NO_KNOWN_GENE
chrX	+	77065528	77069151	18	orphan_290	NO_KNOWN_GENE
chrX	+	77069276	77071455	26	orphan_70	NO_KNOWN_GENE
chrX	+	77263467	77267967	18	orphan_244	NO_KNOWN_GENE
chrX	+	77268018	77270209	13	orphan_3	NO_KNOWN_GENE
chrX	+	77270365	77270480	14	orphan_123	NO_KNOWN_GENE
chrX	+	77270625	77272672	29	orphan_308	NO_KNOWN_GENE
chrX	+	77272776	77274174	22	orphan_263	NO_KNOWN_GENE
chrX	+	77274294	77275365	26	orphan_239	NO_KNOWN_GENE
chrX	+	77275480	77275885	16	orphan_115	NO_KNOWN_GENE
chrX	+	77276065	77278135	23	orphan_78	NO_KNOWN_GENE
chrX	+	77278313	77278531	24	orphan_327	NO_KNOWN_GENE
chrX	+	77278630	77278931	17	orphan_322	NO_KNOWN_GENE
chrX	+	105419120	105419285	7	orphan_185	NO_KNOWN_GENE
chrX	+	105419330	105421332	8	orphan_214	NO_KNOWN_GENE
chrX	+	105573992	105574527	11	orphan_170	NO_KNOWN_GENE
chrX	+	105574606	105575075	8	orphan_93	NO_KNOWN_GENE
chrX	+	105575136	105575449	3	orphan_209	NO_KNOWN_GENE
chrX	+	105575519	105575810	13	orphan_90	NO_KNOWN_GENE
chrX	-	106557472	106557871	5	orphan_94	NO_KNOWN_GENE
chrX	-	106714278	106714874	9	orphan_77	NO_KNOWN_GENE
chrX	+	106791489	106791963	14	orphan_162	NO_KNOWN_GENE
chrX	+	106792029	106793867	22	orphan_294	NO_KNOWN_GENE
chrX	-	107396033	107397105	5	orphan_13	NO_KNOWN_GENE
chrX	+	115401071	115401233	2	orphan_300	NO_KNOWN_GENE
chrX	+	115401329	115408329	1	orphan_71	NO_KNOWN_GENE
chrX	+	123209974	123212604	11	orphan_249	NO_KNOWN_GENE
chrX	+	123404726	123405723	14	orphan_261	NO_KNOWN_GENE
chrX	+	123406210	123406745	20	orphan_166	NO_KNOWN_GENE
chrX	+	123406886	123407222	9	orphan_153	NO_KNOWN_GENE
chrX	-	123705432	123707153	11	orphan_206	NO_KNOWN_GENE
chrX	-	123721358	123723122	8	orphan_39	NO_KNOWN_GENE
chrX	-	124743712	124745001	12	orphan_97	NO_KNOWN_GENE
chrX	-	135312334	135312666	9	orphan_271	NO_KNOWN_GENE
chrX	-	152928930	152930196	7	orphan_255	NO_KNOWN_GENE
chrX	-	152930325	152930606	9	orphan_177	NO_KNOWN_GENE
chrX	-	156401716	156401810	18	orphan_24	NO_KNOWN_GENE
chrX	-	156401865	156401967	17	orphan_223	NO_KNOWN_GENE
chrX	-	156402112	156402388	6	orphan_287	NO_KNOWN_GENE
chrX	-	156402560	156403367	5	orphan_277	NO_KNOWN_GENE
chrX	-	156403467	156404424	9	orphan_183	NO_KNOWN_GENE
chrX	-	156404556	156404810	17	orphan_315	NO_KNOWN_GENE
chrX	-	156405009	156405420	12	orphan_143	NO_KNOWN_GENE
chrX	-	156405555	156405692	14	orphan_324	NO_KNOWN_GENE
chrX	-	156405792	156405951	14	orphan_203	NO_KNOWN_GENE
chrX	-	156406059	156407227	9	orphan_86	NO_KNOWN_GENE
chrX	-	156408863	156409076	14	orphan_330	NO_KNOWN_GENE
chrX	-	156409305	156409393	18	orphan_1	NO_KNOWN_GENE
chrX	-	156409441	156410118	21	orphan_120	NO_KNOWN_GENE
chrX	-	156410357	156410695	10	orphan_125	NO_KNOWN_GENE
chrX	-	156411401	156411957	15	orphan_297	NO_KNOWN_GENE
chrX	-	156412151	156412406	7	orphan_34	NO_KNOWN_GENE
chrX	-	156438466	156438547	17	orphan_141	NO_KNOWN_GENE
chrX	-	156438710	156439079	16	orphan_116	NO_KNOWN_GENE
chrX	-	156439218	156439386	18	orphan_129	NO_KNOWN_GENE
chrX	-	156439494	156439573	8	orphan_5	NO_KNOWN_GENE
chrX	-	156439632	156440269	6	orphan_72	NO_KNOWN_GENE
chrX	+	156999965	157004344	6	orphan_247	NO_KNOWN_GENE
chrX	+	157005322	157006473	9	orphan_161	NO_KNOWN_GENE
chrX	+	157006534	157006655	10	orphan_98	NO_KNOWN_GENE
chrX	+	157008089	157008176	9	orphan_306	NO_KNOWN_GENE
chrX	+	157008237	157008527	11	orphan_333	NO_KNOWN_GENE
