spliceName	chrom	strand	start	end	CT
ENSRNOG00000000048:J039	chr14	+	2127247	2130329	106
ENSRNOG00000000048:J040	chr14	+	2130379	2130901	74
ENSRNOG00000000048:J041	chr14	+	2131050	2131736	51
ENSRNOG00000000048:J042	chr14	+	2131859	2132860	37
ENSRNOG00000000048:J043	chr14	+	2132994	2138236	84
ENSRNOG00000000048:J044	chr14	+	2138431	2138841	77
ENSRNOG00000000048:J045	chr14	+	2138959	2139403	52
ENSRNOG00000000048:J046	chr14	+	2139483	2144896	59
ENSRNOG00000000048:J047	chr14	+	2145090	2146043	96
ENSRNOG00000000048:J048	chr14	+	2146190	2147283	78
ENSRNOG00000000048:J049	chr14	+	2147763	2148142	64
ENSRNOG00000000048:J050	chr14	+	2148313	2149368	61
ENSRNOG00000000048:J051	chr14	+	2149491	2166818	98
ENSRNOG00000000048:J052	chr14	+	2166935	2171703	121
ENSRNOG00000000048:J053	chr14	+	2171916	2172216	63
ENSRNOG00000000048:J054	chr14	+	2172362	2173430	42
ENSRNOG00000000048:J055	chr14	+	2173607	2173785	40
ENSRNOG00000000060:J005	chr14	+	2195018	2196290	0
ENSRNOG00000000060:J006	chr14	+	2196393	2219497	0
ENSRNOG00000000060:J007	chr14	+	2219673	2224823	0
ENSRNOG00000000062:J012	chr14	-	2248257	2248876	14
ENSRNOG00000000062:J013	chr14	-	2248957	2252618	20
ENSRNOG00000000062:J014	chr14	-	2252756	2258442	14
ENSRNOG00000000062:J015	chr14	-	2258531	2259639	27
ENSRNOG00000000062:J016	chr14	-	2259747	2280203	19
ENSRNOG00000000062:J017	chr14	-	2280259	2283211	12
ENSRNOG00000000062:J018	chr14	-	2283308	2284388	12
ENSRNOG00000000062:J019	chr14	-	2284506	2286719	23
ENSRNOG00000000062:J020	chr14	-	2286860	2287119	13
ENSRNOG00000000062:J021	chr14	-	2287159	2297031	7
ENSRNOG00000000064:J005	chr14	+	2325358	2325603	682
ENSRNOG00000000064:J006	chr14	+	2325658	2325858	947
ENSRNOG00000000064:J007	chr14	+	2325957	2326352	288
ENSRNOG00000000065:J023	chr14	-	2328982	2329611	3
ENSRNOG00000000065:J024	chr14	-	2329768	2331045	4
ENSRNOG00000000065:J025	chr14	-	2331129	2331692	1
ENSRNOG00000000065:J026	chr14	-	2331767	2331980	0
ENSRNOG00000000065:J027	chr14	-	2332044	2332337	0
ENSRNOG00000000065:J028	chr14	-	2332445	2332546	0
ENSRNOG00000000065:J029	chr14	-	2332647	2333047	1
ENSRNOG00000000065:J030	chr14	-	2333135	2333334	0
ENSRNOG00000000065:J031	chr14	-	2333444	2333676	0
ENSRNOG00000000065:J032	chr14	-	2333784	2335282	1
ENSRNOG00000000065:J033	chr14	-	2335429	2336296	1
ENSRNOG00000000065:J034	chr14	-	2336362	2337005	0
ENSRNOG00000000065:J035	chr14	-	2337149	2337430	1
ENSRNOG00000000065:J036	chr14	-	2337580	2338951	4
ENSRNOG00000000065:J037	chr14	-	2338999	2339203	4
ENSRNOG00000000065:J038	chr14	-	2339270	2340321	2
ENSRNOG00000000065:J039	chr14	-	2340386	2340866	0
ENSRNOG00000000065:J040	chr14	-	2340941	2341027	0
ENSRNOG00000000065:J041	chr14	-	2341168	2356519	0
ENSRNOG00000000065:J042	chr14	-	2356609	2357131	2
ENSRNOG00000000065:J043	chr14	-	2357284	2371385	0
ENSRNOG00000000070:J004	chr14	-	1623027	1625477	0
ENSRNOG00000000070:J005	chr14	-	1625641	1631537	0
ENSRNOG00000000073:J007	chr14	+	2613582	2615788	35
ENSRNOG00000000073:J008	chr14	+	2615886	2621970	31
ENSRNOG00000000073:J009	chr14	+	2622154	2623502	37
ENSRNOG00000000073:J010	chr14	+	2623710	2632039	0
ENSRNOG00000000073:J011	chr14	+	2632198	2633855	0
ENSRNOG00000000075:J016	chr14	-	2659158	2661416	13
ENSRNOG00000000075:J017	chr14	-	2661521	2661627	10
ENSRNOG00000000075:J018	chr14	-	2661680	2661820	13
ENSRNOG00000000075:J019	chr14	-	2661926	2665394	12
ENSRNOG00000000075:J020	chr14	-	2665565	2667659	9
ENSRNOG00000000075:J021	chr14	-	2667727	2675512	17
ENSRNOG00000000075:J022	chr14	-	2675636	2676512	16
ENSRNOG00000000075:J023	chr14	-	2676581	2677393	11
ENSRNOG00000000075:J024	chr14	-	2677489	2679716	4
ENSRNOG00000000075:J025	chr14	-	2679865	2680264	28
ENSRNOG00000000075:J026	chr14	-	2680365	2680589	21
ENSRNOG00000000075:J027	chr14	-	2680685	2685018	22
ENSRNOG00000000075:J028	chr14	-	2685100	2685211	17
ENSRNOG00000000075:J029	chr14	-	2685410	2700739	6
ENSRNOG00000000081:J021	chr14	+	13192498	13193200	6
ENSRNOG00000000081:J022	chr14	+	13193272	13197628	6
ENSRNOG00000000081:J023	chr14	+	13197700	13211701	7
ENSRNOG00000000081:J024	chr14	+	13211783	13212270	10
ENSRNOG00000000081:J025	chr14	+	13212378	13212535	3
ENSRNOG00000000081:J026	chr14	+	13212604	13213389	4
ENSRNOG00000000081:J027	chr14	+	13213470	13232111	6
ENSRNOG00000000081:J028	chr14	+	13232172	13235089	0
ENSRNOG00000000081:J029	chr14	+	13235095	13235449	0
ENSRNOG00000000081:J030	chr14	+	13235475	13235591	0
ENSRNOG00000000081:J031	chr14	+	13235661	13236826	0
ENSRNOG00000000081:J032	chr14	+	13236896	13247189	13
ENSRNOG00000000081:J033	chr14	+	13247268	13252023	5
ENSRNOG00000000081:J034	chr14	+	13252119	13263274	0
ENSRNOG00000000081:J035	chr14	+	13263316	13264129	2
ENSRNOG00000000081:J036	chr14	+	13264225	13274311	4
ENSRNOG00000000081:J037	chr14	+	13274476	13274711	6
ENSRNOG00000000081:J038	chr14	+	13274792	13274911	0
ENSRNOG00000000081:J039	chr14	+	13274924	13274952	0
ENSRNOG00000001531:J004	chr14	-	115384940	115386424	14
ENSRNOG00000001531:J005	chr14	-	115386460	115391513	14
ENSRNOG00000001912:J013	chr14	+	26663274	26677003	0
ENSRNOG00000001912:J014	chr14	+	26677055	26697181	0
ENSRNOG00000001912:J015	chr14	+	26697226	26700294	0
ENSRNOG00000001912:J016	chr14	+	26700398	26712858	0
ENSRNOG00000001912:J017	chr14	+	26712974	26720716	0
ENSRNOG00000001912:J018	chr14	+	26720822	26723267	0
ENSRNOG00000001912:J019	chr14	+	26723340	26725244	0
ENSRNOG00000001912:J020	chr14	+	26725288	26731086	0
ENSRNOG00000001912:J021	chr14	+	26731144	26734420	0
ENSRNOG00000001912:J022	chr14	+	26734506	26734858	0
ENSRNOG00000001912:J023	chr14	+	26734904	26735638	0
ENSRNOG00000001942:J006	chr14	-	21490742	21552655	0
ENSRNOG00000001942:J007	chr14	-	21552721	21553916	0
ENSRNOG00000001942:J008	chr14	-	21552721	21709024	0
ENSRNOG00000001945:J004	chr14	-	21559010	21612284	0
ENSRNOG00000001945:J005	chr14	-	21612350	21615414	0
ENSRNOG00000001949:J003	chr14	-	21703827	21707226	0
ENSRNOG00000001950:J003	chr14	-	21746442	21747032	0
ENSRNOG00000001951:J006	chr14	-	21803912	21805948	0
ENSRNOG00000001951:J007	chr14	-	21806432	21807641	0
ENSRNOG00000001951:J008	chr14	-	21807671	21808294	0
ENSRNOG00000001951:J009	chr14	-	21808356	21810253	0
ENSRNOG00000001957:J009	chr14	+	22072126	22073375	0
ENSRNOG00000001957:J010	chr14	+	22073536	22078405	0
ENSRNOG00000001957:J011	chr14	+	22078531	22079907	0
ENSRNOG00000001957:J012	chr14	+	22080005	22083555	0
ENSRNOG00000001957:J013	chr14	+	22083682	22085453	0
ENSRNOG00000001957:J014	chr14	+	22085548	22087301	0
ENSRNOG00000001957:J015	chr14	+	22087482	22088865	0
ENSRNOG00000001960:J021	chr14	+	22092085	22107411	0
ENSRNOG00000001960:J022	chr14	+	22107574	22108795	0
ENSRNOG00000001960:J023	chr14	+	22108921	22109693	0
ENSRNOG00000001960:J024	chr14	+	22109791	22113662	1
ENSRNOG00000001960:J025	chr14	+	22113789	22120037	0
ENSRNOG00000001960:J026	chr14	+	22120132	22122454	0
ENSRNOG00000001960:J027	chr14	+	22122635	22124635	0
ENSRNOG00000001960:J028	chr14	+	22122652	22122653	0
ENSRNOG00000001960:J029	chr14	+	22122716	22122719	0
ENSRNOG00000001960:J030	chr14	+	22122722	22122726	0
ENSRNOG00000001960:J031	chr14	+	22122741	22122746	0
ENSRNOG00000001960:J032	chr14	+	22122752	22124735	0
ENSRNOG00000001960:J033	chr14	+	22124745	22124747	0
ENSRNOG00000001967:J008	chr14	+	22142646	22143020	0
ENSRNOG00000001967:J009	chr14	+	22143149	22146473	0
ENSRNOG00000001967:J010	chr14	+	22146571	22147468	0
ENSRNOG00000001967:J011	chr14	+	22147595	22148180	0
ENSRNOG00000001967:J012	chr14	+	22148275	22151836	0
ENSRNOG00000001967:J013	chr14	+	22152017	22154870	0
ENSRNOG00000001973:J042	chr14	+	22193684	22211517	0
ENSRNOG00000001973:J043	chr14	+	22211666	22212915	0
ENSRNOG00000001973:J044	chr14	+	22213047	22214523	0
ENSRNOG00000001973:J045	chr14	+	22214544	22214546	0
ENSRNOG00000001973:J046	chr14	+	22214550	22214552	0
ENSRNOG00000001973:J047	chr14	+	22214570	22214574	0
ENSRNOG00000001973:J048	chr14	+	22214573	22214574	0
ENSRNOG00000001973:J049	chr14	+	22214589	22214593	0
ENSRNOG00000001973:J050	chr14	+	22214592	22214593	0
ENSRNOG00000001973:J051	chr14	+	22214612	22215087	0
ENSRNOG00000001973:J052	chr14	+	22215307	22215900	0
ENSRNOG00000001973:J053	chr14	+	22215307	22267850	0
ENSRNOG00000001973:J054	chr14	+	22215927	22216826	0
ENSRNOG00000001973:J055	chr14	+	22252227	22257623	0
ENSRNOG00000001973:J056	chr14	+	22257772	22259073	0
ENSRNOG00000001973:J057	chr14	+	22259205	22260144	0
ENSRNOG00000001973:J058	chr14	+	22260232	22260625	0
ENSRNOG00000001973:J059	chr14	+	22260845	22267850	0
ENSRNOG00000001973:J060	chr14	+	22267891	22445377	0
ENSRNOG00000001973:J061	chr14	+	22445568	22445570	0
ENSRNOG00000001973:J062	chr14	+	22445583	22445586	0
ENSRNOG00000001973:J063	chr14	+	22445596	22619614	0
ENSRNOG00000001973:J064	chr14	+	22597387	22597389	0
ENSRNOG00000001973:J065	chr14	+	22597401	22597402	0
ENSRNOG00000001973:J066	chr14	+	22597844	22599356	0
ENSRNOG00000001973:J067	chr14	+	22599505	22607574	0
ENSRNOG00000001973:J068	chr14	+	22607706	22609307	0
ENSRNOG00000001973:J069	chr14	+	22609395	22610051	0
ENSRNOG00000001973:J070	chr14	+	22610271	22619363	0
ENSRNOG00000001973:J071	chr14	+	22619508	22619513	0
ENSRNOG00000001973:J072	chr14	+	22619549	22619553	0
ENSRNOG00000001980:J009	chr14	+	22554406	22556009	0
ENSRNOG00000001980:J010	chr14	+	22556158	22557542	0
ENSRNOG00000001980:J011	chr14	+	22557674	22576808	0
ENSRNOG00000001980:J012	chr14	+	22576896	22577935	0
ENSRNOG00000001980:J013	chr14	+	22578155	22590400	0
ENSRNOG00000001980:J014	chr14	+	22578155	22590926	0
ENSRNOG00000001990:J017	chr14	+	22725144	22726251	0
ENSRNOG00000001990:J018	chr14	+	22726400	22732411	0
ENSRNOG00000001990:J019	chr14	+	22732543	22733637	0
ENSRNOG00000001990:J020	chr14	+	22733725	22733859	0
ENSRNOG00000001990:J021	chr14	+	22734079	22735524	0
ENSRNOG00000001990:J022	chr14	+	22734079	22780233	0
ENSRNOG00000001990:J023	chr14	+	22780426	22806591	0
ENSRNOG00000001990:J024	chr14	+	22806861	22808530	0
ENSRNOG00000001990:J025	chr14	+	22808679	22809319	0
ENSRNOG00000001990:J026	chr14	+	22809451	22822292	0
ENSRNOG00000001990:J027	chr14	+	22822380	22823149	0
ENSRNOG00000001990:J028	chr14	+	22823369	22825164	0
ENSRNOG00000001996:J018	chr14	-	22972811	22974893	55
ENSRNOG00000001996:J019	chr14	-	22975028	22976434	81
ENSRNOG00000001996:J020	chr14	-	22976497	22976589	53
ENSRNOG00000001996:J021	chr14	-	22976653	22976725	27
ENSRNOG00000001996:J022	chr14	-	22976762	22977957	57
ENSRNOG00000001996:J023	chr14	-	22978040	22980487	66
ENSRNOG00000001996:J024	chr14	-	22980654	22981627	104
ENSRNOG00000001996:J025	chr14	-	22981712	22985160	42
ENSRNOG00000001996:J026	chr14	-	22985278	22985360	31
ENSRNOG00000001996:J027	chr14	-	22985469	22986727	22
ENSRNOG00000001996:J028	chr14	-	22986822	22987390	38
ENSRNOG00000001996:J029	chr14	-	22987444	22987897	37
ENSRNOG00000001996:J030	chr14	-	22987987	22990493	49
ENSRNOG00000001996:J031	chr14	-	22990926	22991040	72
ENSRNOG00000001996:J032	chr14	-	22991369	22992044	77
ENSRNOG00000001996:J033	chr14	-	22992146	23001983	18
ENSRNOG00000002002:J011	chr14	-	24104115	24104920	0
ENSRNOG00000002002:J012	chr14	-	24105063	24105525	0
ENSRNOG00000002002:J013	chr14	-	24105785	24106750	0
ENSRNOG00000002002:J014	chr14	-	24106925	24107434	0
ENSRNOG00000002002:J015	chr14	-	24107473	24108123	0
ENSRNOG00000002002:J016	chr14	-	24108284	24116244	0
ENSRNOG00000002002:J017	chr14	-	24116312	24116400	0
ENSRNOG00000002002:J018	chr14	-	24116519	24120689	0
ENSRNOG00000002002:J019	chr14	-	24120805	24123233	0
ENSRNOG00000002004:J007	chr14	-	13054861	13054863	0
ENSRNOG00000002004:J008	chr14	-	13056392	13056768	7
ENSRNOG00000002004:J009	chr14	-	13056997	13057953	2
ENSRNOG00000002005:J012	chr14	-	23983800	23986820	0
ENSRNOG00000002005:J013	chr14	-	23986963	23989870	0
ENSRNOG00000002005:J014	chr14	-	23990130	23993343	0
ENSRNOG00000002005:J015	chr14	-	23993545	23995182	0
ENSRNOG00000002005:J016	chr14	-	23995221	23996026	0
ENSRNOG00000002005:J017	chr14	-	23996190	23997716	0
ENSRNOG00000002005:J018	chr14	-	23997784	24003988	0
ENSRNOG00000002005:J019	chr14	-	24004107	24020139	0
ENSRNOG00000002005:J020	chr14	-	24020294	24055071	0
ENSRNOG00000002005:J021	chr14	-	24055152	24080343	0
ENSRNOG00000002011:J004	chr14	+	23481070	23493591	0
ENSRNOG00000002011:J005	chr14	+	23493808	23496653	0
ENSRNOG00000002014:J010	chr14	-	23576550	23582332	0
ENSRNOG00000002014:J011	chr14	-	23582429	23584145	0
ENSRNOG00000002014:J012	chr14	-	23584215	23589424	1
ENSRNOG00000002014:J013	chr14	-	23589553	23591223	0
ENSRNOG00000002014:J014	chr14	-	23591396	23593229	0
ENSRNOG00000002014:J015	chr14	-	23593286	23595862	0
ENSRNOG00000002014:J016	chr14	-	23595976	23598988	0
ENSRNOG00000002014:J017	chr14	-	23599060	23604684	0
ENSRNOG00000002024:J027	chr14	+	25590150	25590151	0
ENSRNOG00000002024:J028	chr14	+	25590181	25590182	0
ENSRNOG00000002024:J029	chr14	+	25590215	25590219	0
ENSRNOG00000002024:J030	chr14	+	25590310	25621970	2
ENSRNOG00000002024:J031	chr14	+	25622035	25672665	4
ENSRNOG00000002024:J032	chr14	+	25673329	25791640	0
ENSRNOG00000002024:J033	chr14	+	25791796	25795957	7
ENSRNOG00000002024:J034	chr14	+	25791796	25859207	0
ENSRNOG00000002024:J035	chr14	+	25796293	25859207	5
ENSRNOG00000002024:J036	chr14	+	25859332	25865032	4
ENSRNOG00000002024:J037	chr14	+	25865192	25877162	0
ENSRNOG00000002024:J038	chr14	+	25877265	25899868	0
ENSRNOG00000002024:J039	chr14	+	25899934	25909289	0
ENSRNOG00000002024:J040	chr14	+	25909357	25910532	1
ENSRNOG00000002024:J041	chr14	+	25910658	25911317	3
ENSRNOG00000002024:J042	chr14	+	25911503	25926777	3
ENSRNOG00000002024:J043	chr14	+	25926839	25930673	3
ENSRNOG00000002024:J044	chr14	+	25930883	25934823	4
ENSRNOG00000002024:J045	chr14	+	25934973	25941082	2
ENSRNOG00000002024:J046	chr14	+	25941276	25944860	2
ENSRNOG00000002024:J047	chr14	+	25945016	25953570	3
ENSRNOG00000002031:J003	chr14	+	13828461	13835268	1
ENSRNOG00000002035:J008	chr14	+	14107879	14110812	23
ENSRNOG00000002035:J009	chr14	+	14110975	14116164	8
ENSRNOG00000002035:J010	chr14	+	14116320	14118582	23
ENSRNOG00000002035:J011	chr14	+	14118780	14120851	7
ENSRNOG00000002035:J012	chr14	+	14120942	14122197	14
ENSRNOG00000002035:J013	chr14	+	14122346	14124028	2
ENSRNOG00000002039:J019	chr14	+	2892837	2924635	2
ENSRNOG00000002039:J020	chr14	+	2924865	2944121	45
ENSRNOG00000002039:J021	chr14	+	2944311	2944884	38
ENSRNOG00000002039:J022	chr14	+	2945109	2945982	16
ENSRNOG00000002039:J023	chr14	+	2946057	2950532	23
ENSRNOG00000002039:J024	chr14	+	2950658	2952555	33
ENSRNOG00000002039:J025	chr14	+	2952699	2953527	28
ENSRNOG00000002039:J026	chr14	+	2953617	2953709	53
ENSRNOG00000002039:J027	chr14	+	2953807	2955852	71
ENSRNOG00000002039:J028	chr14	+	2955913	2960527	64
ENSRNOG00000002039:J029	chr14	+	2960581	2977678	16
ENSRNOG00000002039:J030	chr14	+	2977813	2978948	12
ENSRNOG00000002039:J031	chr14	+	2979089	2980818	23
ENSRNOG00000002039:J032	chr14	+	2980977	2988676	43
ENSRNOG00000002039:J033	chr14	+	2988823	2991064	22
ENSRNOG00000002039:J034	chr14	+	2991160	3011573	33
ENSRNOG00000002039:J035	chr14	+	3011669	3034568	6
ENSRNOG00000002040:J016	chr14	-	14131085	14146645	15
ENSRNOG00000002040:J017	chr14	-	14146756	14152747	9
ENSRNOG00000002040:J018	chr14	-	14152908	14156398	5
ENSRNOG00000002040:J019	chr14	-	14156583	14157656	12
ENSRNOG00000002040:J020	chr14	-	14157755	14159318	8
ENSRNOG00000002040:J021	chr14	-	14159551	14160455	0
ENSRNOG00000002040:J022	chr14	-	14160604	14164459	0
ENSRNOG00000002040:J023	chr14	-	14164539	14166056	25
ENSRNOG00000002040:J024	chr14	-	14166160	14174785	27
ENSRNOG00000002040:J025	chr14	-	14174918	14179122	10
ENSRNOG00000002040:J026	chr14	-	14179204	14181435	10
ENSRNOG00000002040:J027	chr14	-	14181557	14182955	12
ENSRNOG00000002040:J028	chr14	-	14183098	14188947	10
ENSRNOG00000002040:J029	chr14	-	14189053	14191928	15
ENSRNOG00000002042:J008	chr14	+	3059008	3061024	0
ENSRNOG00000002042:J009	chr14	+	3061187	3061488	0
ENSRNOG00000002042:J010	chr14	+	3061674	3063009	0
ENSRNOG00000002042:J011	chr14	+	3063497	3063618	0
ENSRNOG00000002042:J012	chr14	+	3063756	3064617	0
ENSRNOG00000002042:J013	chr14	+	3064783	3067120	0
ENSRNOG00000002045:J019	chr14	-	14364168	14364992	0
ENSRNOG00000002045:J020	chr14	-	14365157	14379737	0
ENSRNOG00000002045:J021	chr14	-	14374261	14382821	20
ENSRNOG00000002045:J022	chr14	-	14379774	14382821	0
ENSRNOG00000002045:J023	chr14	-	14382944	14385296	19
ENSRNOG00000002045:J024	chr14	-	14382944	14389583	0
ENSRNOG00000002045:J025	chr14	-	14385355	14389642	12
ENSRNOG00000002045:J026	chr14	-	14389738	14390593	0
ENSRNOG00000002045:J027	chr14	-	14389738	14391200	41
ENSRNOG00000002045:J028	chr14	-	14391294	14392216	26
ENSRNOG00000002045:J029	chr14	-	14392273	14395453	35
ENSRNOG00000002045:J030	chr14	-	14395533	14399909	14
ENSRNOG00000002045:J031	chr14	-	14400000	14404039	34
ENSRNOG00000002045:J032	chr14	-	14404153	14407669	21
ENSRNOG00000002045:J033	chr14	-	14407764	14409151	30
ENSRNOG00000002045:J034	chr14	-	14409239	14422919	35
ENSRNOG00000002045:J035	chr14	-	14422975	14426339	13
ENSRNOG00000002050:J006	chr14	+	33010790	33063467	320
ENSRNOG00000002050:J007	chr14	+	33063577	33067451	463
ENSRNOG00000002050:J008	chr14	+	33067568	33068144	547
ENSRNOG00000002050:J009	chr14	+	33068271	33069933	1267
ENSRNOG00000002053:J072	chr14	-	14439672	14440689	6
ENSRNOG00000002053:J073	chr14	-	14440836	14442895	0
ENSRNOG00000002053:J074	chr14	-	14443101	14444331	1
ENSRNOG00000002053:J075	chr14	-	14444498	14448379	2
ENSRNOG00000002053:J076	chr14	-	14448496	14449251	1
ENSRNOG00000002053:J077	chr14	-	14449411	14450327	3
ENSRNOG00000002053:J078	chr14	-	14450435	14451649	5
ENSRNOG00000002053:J079	chr14	-	14451800	14454116	0
ENSRNOG00000002053:J080	chr14	-	14454331	14455619	2
ENSRNOG00000002053:J081	chr14	-	14455786	14461467	2
ENSRNOG00000002053:J082	chr14	-	14461565	14461567	0
ENSRNOG00000002053:J083	chr14	-	14461702	14465338	0
ENSRNOG00000002053:J084	chr14	-	14465614	14467734	1
ENSRNOG00000002053:J085	chr14	-	14467922	14470501	0
ENSRNOG00000002053:J086	chr14	-	14470702	14473061	3
ENSRNOG00000002053:J087	chr14	-	14473218	14476659	1
ENSRNOG00000002053:J088	chr14	-	14476865	14481962	0
ENSRNOG00000002053:J089	chr14	-	14482110	14492220	0
ENSRNOG00000002053:J090	chr14	-	14492256	14492260	0
ENSRNOG00000002053:J091	chr14	-	14492388	14494276	0
ENSRNOG00000002053:J092	chr14	-	14494621	14495867	1
ENSRNOG00000002053:J093	chr14	-	14496114	14498208	2
ENSRNOG00000002053:J094	chr14	-	14498377	14500023	3
ENSRNOG00000002053:J095	chr14	-	14500183	14501206	2
ENSRNOG00000002053:J096	chr14	-	14501357	14503589	4
ENSRNOG00000002053:J097	chr14	-	14503703	14506478	1
ENSRNOG00000002053:J098	chr14	-	14506706	14507721	1
ENSRNOG00000002053:J099	chr14	-	14507862	14508099	5
ENSRNOG00000002053:J100	chr14	-	14508224	14518387	7
ENSRNOG00000002053:J101	chr14	-	14518567	14518816	1
ENSRNOG00000002053:J102	chr14	-	14518936	14520310	1
ENSRNOG00000002053:J103	chr14	-	14520499	14522582	2
ENSRNOG00000002053:J104	chr14	-	14522846	14523989	0
ENSRNOG00000002053:J105	chr14	-	14524143	14525161	0
ENSRNOG00000002053:J106	chr14	-	14525352	14530194	0
ENSRNOG00000002053:J107	chr14	-	14530330	14532089	4
ENSRNOG00000002053:J108	chr14	-	14532252	14532425	0
ENSRNOG00000002053:J109	chr14	-	14532574	14537537	4
ENSRNOG00000002053:J110	chr14	-	14537785	14540141	0
ENSRNOG00000002053:J111	chr14	-	14540267	14541301	1
ENSRNOG00000002053:J112	chr14	-	14541433	14545580	1
ENSRNOG00000002053:J113	chr14	-	14545613	14547745	1
ENSRNOG00000002053:J114	chr14	-	14547883	14549700	0
ENSRNOG00000002053:J115	chr14	-	14549815	14555089	2
ENSRNOG00000002053:J116	chr14	-	14555206	14558949	0
ENSRNOG00000002053:J117	chr14	-	14559137	14574467	0
ENSRNOG00000002053:J118	chr14	-	14574774	14578054	6
ENSRNOG00000002053:J119	chr14	-	14578139	14582473	3
ENSRNOG00000002053:J120	chr14	-	14582744	14585553	3
ENSRNOG00000002053:J121	chr14	-	14585694	14586933	2
ENSRNOG00000002053:J122	chr14	-	14587074	14587695	1
ENSRNOG00000002053:J123	chr14	-	14587836	14590234	0
ENSRNOG00000002053:J124	chr14	-	14590381	14598450	2
ENSRNOG00000002053:J125	chr14	-	14598597	14599085	1
ENSRNOG00000002053:J126	chr14	-	14599238	14620909	0
ENSRNOG00000002053:J127	chr14	-	14621053	14624792	0
ENSRNOG00000002053:J128	chr14	-	14624933	14640898	3
ENSRNOG00000002053:J129	chr14	-	14641075	14642676	2
ENSRNOG00000002053:J130	chr14	-	14642817	14645250	0
ENSRNOG00000002053:J131	chr14	-	14645391	14652471	2
ENSRNOG00000002053:J132	chr14	-	14652615	14666414	2
ENSRNOG00000002053:J133	chr14	-	14666549	14668052	1
ENSRNOG00000002053:J134	chr14	-	14668196	14669549	2
ENSRNOG00000002053:J135	chr14	-	14669697	14671094	6
ENSRNOG00000002053:J136	chr14	-	14671130	14673598	6
ENSRNOG00000002053:J137	chr14	-	14673688	14678018	2
ENSRNOG00000002053:J138	chr14	-	14678210	14678507	2
ENSRNOG00000002053:J139	chr14	-	14678609	14680597	5
ENSRNOG00000002053:J140	chr14	-	14680681	14687726	3
ENSRNOG00000002053:J141	chr14	-	14687860	14689394	2
ENSRNOG00000002054:J022	chr14	+	3204466	3205569	0
ENSRNOG00000002054:J023	chr14	+	3205115	3205569	0
ENSRNOG00000002054:J024	chr14	+	3205645	3206609	13
ENSRNOG00000002054:J025	chr14	+	3206735	3216959	12
ENSRNOG00000002054:J026	chr14	+	3217076	3217968	8
ENSRNOG00000002054:J027	chr14	+	3218077	3219320	15
ENSRNOG00000002054:J028	chr14	+	3219558	3221020	15
ENSRNOG00000002054:J029	chr14	+	3221123	3222980	11
ENSRNOG00000002054:J030	chr14	+	3223168	3230286	11
ENSRNOG00000002054:J031	chr14	+	3230340	3230795	15
ENSRNOG00000002054:J032	chr14	+	3230826	3231286	12
ENSRNOG00000002054:J033	chr14	+	3231376	3232183	13
ENSRNOG00000002054:J034	chr14	+	3232225	3232307	18
ENSRNOG00000002054:J035	chr14	+	3232381	3234791	4
