chrom	strand	start	end	CT
chr14	+	2385695	2386598	3
chr14	-	2386258	2387172	1
chr14	+	2386714	2387550	1
chr14	+	2386714	2388231	1
chr14	+	2386714	2423117	12
chr14	+	2386714	2423120	4
chr14	+	2386714	2458868	1
chr14	-	2388362	2389032	1
chr14	+	2391569	2391722	1
chr14	+	2404393	2641447	1
chr14	+	2423217	2426882	1
chr14	+	2423217	2458868	2
chr14	+	2458972	2464675	1
chr14	+	2458972	2568141	1
chr14	+	2464703	2465479	1
chr14	-	2543792	2553449	1
chr14	-	2551253	2553401	1
chr14	-	2568426	2575618	4
chr14	-	2578710	2579794	1
chr14	-	2579857	2582816	1
chr14	-	2586070	2595786	1
chr14	-	2597731	2607537	2
chr14	-	2602178	2607454	1
chr14	-	2602865	2605247	1
chr14	-	2610363	2612809	1
chr14	-	2610931	2612809	1
chr14	-	2667786	2667822	1
chr14	-	2685410	2697213	1
chr14	-	2692868	2700739	2
chr14	+	2696907	2765344	1
chr14	-	2697978	2700739	1
chr14	-	2759675	2759816	1
chr14	-	2759869	2760488	1
chr14	-	2767578	2768354	1
chr14	+	2777123	2777144	1
chr14	+	2861116	2861669	2
chr14	-	2861754	2863993	65
chr14	+	2861758	2863994	4
chr14	+	2864824	2865870	3
chr14	+	2865986	2866072	1
chr14	+	2892986	2916697	1
chr14	+	2898348	2924635	10
chr14	+	2916801	2924635	1
chr14	+	2916838	2924635	1
chr14	+	2924865	2934313	1
chr14	+	2924865	2944199	1
chr14	+	2930541	2930762	3
chr14	+	2953807	2954274	1
chr14	+	2954420	2955852	1
chr14	+	2960581	2962585	19
chr14	+	2962618	2963175	4
chr14	+	2963322	2977678	3
chr14	-	2980977	2988676	2
chr14	+	3011669	3015969	1
chr14	+	3014874	3014915	1
chr14	-	3089924	3089946	1
chr14	-	3126781	3131822	1
chr14	-	3131969	3169160	2
chr14	-	3163519	3169160	1
chr14	-	3164395	3164423	1
chr14	-	3166838	3169160	1
chr14	-	3194971	3195018	1
chr14	-	3195979	3196017	2
chr14	-	3196015	3196055	1
chr14	+	3201423	3203723	1
chr14	+	3204877	3205569	7
chr14	+	3217076	3217944	1
chr14	+	3218077	3219454	1
chr14	+	3219558	3221055	1
chr14	+	3237758	3239281	2
chr14	-	3262559	3266128	1
chr14	-	3289078	3289110	1
chr14	-	3289465	3290070	1
chr14	-	3300227	3304296	5
chr14	-	3302832	3302872	2
chr14	-	3306919	3313091	1
chr14	-	3333584	3333611	1
chr14	+	3390388	3396080	1
chr14	+	3396195	3424776	1
chr14	-	3418666	3419424	1
chr14	+	3425328	3527116	1
chr14	+	3614306	3614368	1
chr14	+	3681634	3681739	1
chr14	+	3912357	3914114	1
chr14	+	3937110	3938586	1
chr14	+	3950461	3950590	2
chr14	+	3950914	3956029	1
chr14	-	4019640	4022471	1
chr14	+	4125681	4154609	7
chr14	+	4125681	4178530	8
chr14	+	4125980	4154609	1
chr14	+	4125980	4197678	1
chr14	+	4126401	4154609	1
chr14	+	4135527	4339339	2
chr14	+	4136872	4178530	1
chr14	+	4154670	4175471	1
chr14	+	4154670	4197678	1
chr14	+	4164835	4178530	1
chr14	-	4180743	4180839	1
chr14	+	4181550	4197678	1
chr14	+	4251586	4267678	2
chr14	-	5003090	5003164	1
chr14	+	5003295	5006494	1
chr14	-	5004160	5004184	2
chr14	-	5021575	5021683	2
chr14	-	5022296	5027226	6
chr14	-	5024740	5024881	1
chr14	-	5033942	5035942	4
chr14	-	5047783	5047818	1
chr14	-	5089027	5166510	8
chr14	-	5128150	5128347	2
chr14	-	5128533	5128643	1
chr14	-	5166655	5193893	2
chr14	-	5257566	5421702	1
chr14	-	5361287	5361389	1
chr14	-	5361315	5361353	1
chr14	-	5419212	5423347	1
chr14	+	5419212	5423351	1
chr14	-	5428759	5437232	45
chr14	-	5428759	5480553	1
chr14	-	5433311	5437232	2
chr14	-	5437285	5448788	4
chr14	-	5437285	5480553	14
chr14	-	5437285	5480927	1
chr14	-	5441235	5441287	2
chr14	-	5452115	5480553	5
chr14	-	5477063	5477093	1
chr14	-	5531105	5534419	1
chr14	-	5541548	5545536	1
chr14	-	5545673	5549492	12
chr14	-	5549645	5550132	1
chr14	-	5549645	5550824	1
chr14	-	5550247	5550824	1
chr14	-	5604052	5607717	10
chr14	-	5606148	5767874	2
chr14	-	5607839	5609241	1
chr14	-	5609331	5794506	1
chr14	+	5618472	5930373	2
chr14	-	5744243	5746850	13
chr14	-	5759622	5760093	6
chr14	-	5763860	5764214	3
chr14	-	5773625	5794506	1
chr14	+	5802010	6068987	1
chr14	-	5848861	5849730	1
chr14	+	5861911	5982166	1
chr14	+	5963648	5971964	1
chr14	+	5986930	5990329	1
chr14	+	5990217	5990776	1
chr14	+	6024320	6083045	1
chr14	+	6059227	6068987	1
chr14	-	6113768	6175488	1
chr14	-	6123003	6123037	1
chr14	-	6137086	6189598	2
chr14	-	6148403	6200583	1
chr14	+	6174095	6221087	3
chr14	-	6267755	6369544	2
chr14	-	6277798	6352372	1
chr14	-	6329574	6331089	5
chr14	-	6331150	6331391	1
chr14	-	6341519	6341643	2
chr14	-	6378726	6384305	1
chr14	-	6384349	6384694	2
chr14	-	6384755	6385001	1
chr14	+	6457944	6469395	1
chr14	-	6509054	6512940	1
chr14	-	6533543	6540511	1
chr14	-	6556748	6556798	1
chr14	-	6565289	6566485	6
chr14	-	6566604	6567965	5
chr14	-	6568024	6570520	4
chr14	-	6568135	6570520	1
chr14	-	6570686	6576887	2
chr14	-	6570686	6580467	2
chr14	-	6570686	6580610	1
chr14	-	6571662	6571696	3
chr14	-	6577045	6580467	3
chr14	-	6580508	6580610	7
chr14	-	6580642	6581840	12
chr14	-	6587091	6599611	8
chr14	-	6615380	6616169	1
chr14	-	6616081	6616169	1
chr14	-	6616141	6616169	1
chr14	-	6616721	6616749	1
chr14	-	6618507	6619958	1
chr14	-	6622491	6628067	3
chr14	-	6972734	6988866	1
chr14	+	6990250	7104379	1
chr14	+	6994597	6995220	1
chr14	-	6994597	7008685	1
chr14	+	6996233	7008685	1
chr14	+	7005470	7005634	1
chr14	+	7008756	7011636	6
chr14	+	7011006	7011636	1
chr14	-	7011759	7012137	2
chr14	-	7013091	7014616	8
chr14	-	7014686	7015402	2
chr14	-	7015521	7016391	2
chr14	-	7017671	7018936	2
chr14	+	7019774	7024870	1
chr14	+	7019774	7024876	1
chr14	-	7045575	7046816	1
chr14	-	7048305	7048331	1
chr14	+	7054811	7073405	5
chr14	+	7054830	7073405	1
chr14	+	7054882	7073405	1
chr14	+	7060755	7060927	1
chr14	-	7064379	7088990	1
chr14	-	7073708	7076684	1
chr14	-	7085856	7088530	2
chr14	-	7085856	7088990	1
chr14	+	7092478	7102069	8
chr14	+	7092507	7092535	1
chr14	+	7092507	7092542	2
chr14	+	7092708	7102064	9
chr14	+	7092708	7102069	4
chr14	+	7098044	7098072	3
chr14	+	7098044	7098074	1
chr14	+	7102181	7104051	13
chr14	+	7102315	7103838	1
chr14	+	7107527	7107596	2
chr14	+	7112712	7112744	1
chr14	+	7117223	7117703	3
chr14	+	7185145	7185181	2
chr14	-	7231493	7234423	1
chr14	+	7235503	7236633	1
chr14	+	7236731	7242845	1
chr14	+	7250414	7258925	1
chr14	+	7258977	7260579	1
chr14	-	7265066	7272255	1
chr14	-	7288499	7288527	1
chr14	+	7292554	7293205	1
chr14	-	7293326	7325872	10
chr14	-	7353702	7353732	1
chr14	-	7363219	7365221	1
chr14	-	7364356	7364511	1
chr14	-	7392068	7587274	1
chr14	-	7396947	7702844	1
chr14	-	7397242	7703150	1
chr14	-	7598012	7598036	2
chr14	-	7730208	7731566	1
chr14	-	7768905	7796208	1
chr14	+	7807277	7839036	1
chr14	-	7815176	7815332	1
chr14	+	8355841	8367270	3
chr14	+	8384053	8387726	3
chr14	-	8395823	8401375	1
chr14	-	8399422	8401375	1
chr14	+	8401497	8404271	1
chr14	+	8404345	8406985	1
chr14	-	8420302	8420446	2
chr14	-	8423929	8423956	1
chr14	-	8423975	8424005	1
chr14	-	8432697	8436419	1
chr14	-	8436542	8451597	1
chr14	-	8436542	8467404	126
chr14	-	8436542	8509637	3
chr14	-	8436542	8509977	56
chr14	-	8436542	8600424	40
chr14	-	8440182	8459736	3
chr14	-	8440182	8459737	1
chr14	-	8443850	8443914	1
chr14	-	8451805	8509977	1
chr14	-	8458926	8509977	1
chr14	-	8499699	8499748	1
chr14	-	8503411	8509977	1
chr14	+	8510183	8514190	11
chr14	+	8510183	8520224	9
chr14	+	8510218	8514190	1
chr14	+	8510928	8514190	1
chr14	+	8511272	8520224	1
chr14	+	8518186	8520224	1
chr14	+	8521098	8521203	1
chr14	+	8572527	8572875	1
chr14	+	8572667	8572694	1
chr14	-	8572667	8572694	2
chr14	-	8600512	8642384	1
chr14	-	8600512	8660888	1
chr14	-	8600512	8969236	2
chr14	+	8638525	8649039	3
chr14	+	8649144	8652921	3
chr14	-	8681700	8681901	3
chr14	-	8691318	8691362	1
chr14	-	8691424	8691450	1
chr14	-	8813387	8813425	1
chr14	+	8819527	8827231	1
chr14	+	8827312	8827533	1
chr14	-	8837066	8837162	2
chr14	+	8859491	8859586	1
chr14	-	8872293	8872317	1
chr14	-	8892750	8892861	1
chr14	-	8901750	8901803	1
chr14	-	8921207	8921271	1
chr14	-	8929940	8980820	1
chr14	+	8956631	8965758	1
chr14	+	8965947	8966617	1
chr14	+	8966698	8969232	1
chr14	+	8969409	8973415	1
chr14	+	8969409	8973429	1
chr14	-	8978862	8978921	1
chr14	+	9050874	9050997	2
chr14	+	9051237	9051559	6
chr14	+	9051672	9052252	2
chr14	+	9102381	9108086	3
chr14	+	9105533	9364738	1
chr14	+	9140999	9141511	2
chr14	+	9141771	9169408	2
chr14	+	9149562	9169408	1
chr14	+	9169497	9201455	11
chr14	+	9169670	9201455	2
chr14	+	9201554	9202611	1
chr14	+	9210370	9210404	1
chr14	+	9234410	9234487	1
chr14	+	9279941	9280111	1
chr14	+	9282717	9289220	9
chr14	+	9282907	9283940	1
chr14	+	9294241	9294263	2
chr14	+	9294307	9294351	2
chr14	+	9299509	9299681	1
chr14	+	9299591	9299681	2
chr14	+	9312025	9312102	1
chr14	+	9320332	9321828	4
chr14	+	9333484	9334726	1
chr14	+	9339248	9343695	4
chr14	+	9343749	9345782	3
chr14	-	9347953	9351760	1
chr14	+	9358385	9358581	1
chr14	+	9377230	9377456	1
chr14	+	9379238	9379279	1
chr14	-	9402055	9405551	1
chr14	-	9411383	9421446	2
chr14	-	9411383	9456788	1
chr14	+	9440942	9456788	2
chr14	-	9440942	9457366	2
chr14	-	9440961	9456788	1
chr14	-	9449158	9449240	1
chr14	+	9458163	9458269	1
chr14	-	10347864	10347978	1
chr14	+	10359018	10359108	1
chr14	+	10359162	10359258	1
chr14	-	10392123	10392204	1
chr14	-	10418437	10418465	2
chr14	-	10421687	10441198	2
chr14	+	10433726	10437949	1
chr14	-	10436341	10436363	1
chr14	+	10441114	10441198	1
chr14	-	10441258	10443329	21
chr14	-	10441258	10445631	2
chr14	+	10442216	10443329	1
chr14	+	10443413	10445631	1
chr14	-	10443413	10445652	1
chr14	-	10447361	10448566	1
chr14	+	10460951	10463715	1
chr14	+	10695041	10703340	1
chr14	-	10719314	10725128	3
chr14	-	10728440	10732340	1
chr14	-	10732050	10732340	1
chr14	-	10732780	10735608	1
chr14	-	10733640	10733663	10
chr14	+	10737226	10737694	1
chr14	-	10737226	10748965	7
chr14	-	10737774	10748969	1
chr14	-	10752894	10753375	3
chr14	-	10753489	10766407	1
chr14	-	10755608	10755752	1
chr14	-	10766520	10769829	1
chr14	-	10768107	10768131	1
chr14	+	10770219	10786398	1
chr14	+	10772386	10786398	1
chr14	+	10794860	10800158	1
chr14	+	10800254	10811034	1
chr14	+	10842247	10842337	5
chr14	+	10842478	10845680	4
chr14	+	10845751	10848671	2
chr14	+	10854987	10864456	1
chr14	+	10877255	10877551	1
chr14	+	10881599	10884508	1
chr14	+	10897167	10902035	5
chr14	+	10897212	10900767	1
chr14	+	10953946	10954629	2
chr14	+	10962414	11118744	1
chr14	+	10995391	11003335	2
chr14	+	11078999	11085399	1
chr14	-	11094418	11096854	1
chr14	-	11094419	11096029	1
chr14	+	11095426	11149680	1
chr14	+	11095581	11149680	5
chr14	+	11106224	11106287	1
chr14	+	11120245	11120350	1
chr14	+	11120245	11120385	1
chr14	-	11130530	11130760	1
chr14	+	11130572	11130646	1
chr14	+	11130596	11130652	2
chr14	+	11130690	11130760	1
chr14	+	11141118	11141294	11
chr14	+	11144426	11144502	2
chr14	+	11146745	11149680	1
chr14	+	11152337	11152649	1
chr14	+	11158145	11160635	3
chr14	+	11158193	11160635	1
chr14	+	11160237	11160635	1
chr14	+	11160854	11164167	1
chr14	+	11167037	11167232	1
chr14	-	11167443	11171986	2
chr14	-	11172365	11172631	1
chr14	-	11182400	11192158	1
chr14	-	11182400	11193286	1
chr14	-	11182400	11198044	7
chr14	+	11199579	11200377	1
chr14	-	11200713	11201061	1
chr14	+	11200713	11201065	2
chr14	-	11201413	11201644	1
chr14	+	11201413	11202056	1
chr14	-	11201812	11202056	1
chr14	+	11202148	11203265	20
chr14	+	11202617	11203265	10
chr14	-	11256779	11258572	3
chr14	+	11273075	11273383	6
chr14	-	11313411	11316903	4
chr14	-	11494249	11498270	1
chr14	+	11502848	11503202	1
chr14	-	11657975	11659404	1
chr14	-	11668954	11694073	1
chr14	-	11668954	11704292	2
chr14	+	11687575	11795281	1
chr14	-	11801493	11802724	1
chr14	+	11873737	12003225	2
chr14	+	11994344	12003225	17
chr14	+	11995063	12003225	1
chr14	+	11998742	11998766	1
chr14	+	12005652	12011743	4
chr14	-	12371103	12384356	1
chr14	-	12729361	12903053	1
chr14	-	13236896	13247189	1
chr14	-	13247268	13252023	1
chr14	+	13274792	13329367	4
chr14	+	13363407	13364032	1
chr14	-	13670640	13673693	1
chr14	-	13716842	13716866	1
chr14	-	13871830	13911879	1
chr14	-	13897814	13897906	1
chr14	-	13914890	13916300	1
chr14	+	14107879	14110050	2
chr14	+	14107879	14110975	1
chr14	+	14110379	14110812	2
chr14	+	14118780	14120801	1
chr14	+	14122346	14122478	1
chr14	+	14122346	14129697	3
chr14	-	14131085	14152747	1
chr14	-	14145165	14145189	1
chr14	-	14152905	14156398	13
chr14	-	14164511	14191983	1
chr14	-	14181553	14182955	1
chr14	-	14192047	14192446	1
chr14	-	14192047	14222074	10
chr14	-	14207472	14207598	2
chr14	-	14420654	14420689	1
chr14	-	14422975	14423160	10
chr14	-	14422975	14425812	1
chr14	-	14559137	14564656	1
chr14	-	14564810	14574447	1
chr14	-	14651112	14651133	3
chr14	-	14696995	14698562	1
chr14	-	14703869	14841451	2
chr14	-	14734739	14734761	1
chr14	-	14769498	14777542	2
chr14	-	14821767	14821831	1
chr14	-	14987879	15008088	1
chr14	+	15059189	15086542	2
chr14	+	15060833	15086542	4
chr14	+	15086664	15089353	4
chr14	+	15091475	15098014	1
chr14	+	15098055	15112119	3
chr14	+	15135636	15135709	1
chr14	+	15149707	15149731	4
chr14	+	15149707	15149737	1
chr14	-	15253940	15254194	1
chr14	+	16077642	16246419	1
chr14	-	16292551	16292637	1
chr14	+	16345552	16346124	1
chr14	+	16363042	16363125	1
chr14	-	16369581	16377579	8
chr14	-	16369581	16377680	1
chr14	-	16370225	16377579	1
chr14	-	16435827	16435866	1
chr14	-	16435915	16435954	1
chr14	-	16489152	16489919	1
chr14	-	16545897	16546261	1
chr14	-	16561460	16844283	1
chr14	+	16623955	16625544	2
chr14	-	16632078	16633891	1
chr14	+	16632081	16633891	1
chr14	-	16634380	16635767	2
chr14	-	16653050	16661955	2
chr14	-	16665166	16665288	2
chr14	-	16667993	16687799	6
chr14	-	16686998	16687061	5
chr14	-	16722752	16722883	1
chr14	-	16769305	16769357	1
chr14	-	16786010	16786042	1
chr14	-	16858476	16858504	1
chr14	+	16879706	16880554	1
chr14	+	16899883	16900425	1
chr14	-	16910965	16914868	1
chr14	+	16921224	16922121	7
chr14	+	16921224	16922133	1
chr14	+	16922191	16925010	16
chr14	+	16925147	16926766	1
chr14	+	16930276	16930719	2
chr14	+	16930408	16930719	1
chr14	+	16932631	16934440	1
chr14	+	16934555	16938581	4
chr14	-	16941819	16942378	1
chr14	+	16941819	16942382	1
chr14	+	16954972	16957915	2
chr14	+	16958041	16958693	1
chr14	+	16971095	16973051	1
chr14	+	16971095	16973064	3
chr14	+	16973151	16973323	1
chr14	+	17080143	17080199	3
chr14	-	17109539	17110490	1
chr14	-	17110564	17111850	1
chr14	+	17115851	17117677	1
chr14	+	17123663	17127518	1
chr14	+	17124420	17127346	1
chr14	-	17134958	17137545	1
chr14	+	17139712	17147942	2
chr14	+	17148146	17148280	1
chr14	-	17232438	17233556	1
chr14	-	17268128	17268386	1
chr14	+	17288374	17296106	1
chr14	+	17292490	17292617	3
chr14	+	17297644	17297757	2
chr14	-	17306944	17475606	1
chr14	-	17306945	17310699	1
chr14	-	17306955	17310709	1
chr14	-	17307610	17307696	4
chr14	-	17307831	17308990	10
chr14	-	17307866	17308012	1
chr14	-	17307866	17308990	2
chr14	-	17308227	17308990	1
chr14	-	17310863	17312327	1
chr14	-	17311272	17311325	2
chr14	-	17312445	17312629	1
chr14	-	17312445	17316869	1
chr14	-	17315123	17316869	1
chr14	-	17315160	17316864	2
chr14	-	17316189	17605539	1
chr14	-	17319455	17414798	1
chr14	+	17319817	17325144	2
chr14	-	17325413	17326048	5
chr14	-	17325509	17325939	22
chr14	-	17325517	17325939	1
chr14	-	17328593	17330000	1
chr14	-	17328593	17331170	1
chr14	-	17328640	17330000	46
chr14	-	17328663	17330000	1
chr14	-	17330787	17331170	1
chr14	-	17333376	17333464	1
chr14	-	17334875	17406984	1
chr14	+	17373120	17374322	1
chr14	-	17381490	17384629	1
chr14	+	17385765	17522802	1
chr14	-	17393172	17394074	1
chr14	-	17402485	17403855	1
chr14	-	17408013	17417211	1
chr14	+	17437334	17502833	11
chr14	+	17457524	17457658	1
chr14	+	17492629	17502833	7
chr14	+	17493217	17502833	2
chr14	+	17498620	17498737	2
chr14	+	17500192	17500321	5
chr14	+	17509633	17510267	1
chr14	+	17511498	17512449	84
chr14	+	17512548	17517455	97
chr14	+	17516367	17518684	1
chr14	-	17517558	17519048	1
chr14	+	17519177	17520383	1
chr14	-	17520073	17520383	1
chr14	+	17531193	17534410	2
chr14	+	17531213	17533720	1
chr14	+	17531213	17534410	16
chr14	+	17531217	17534410	2
chr14	+	17531261	17534410	7
chr14	+	17531865	17533720	1
chr14	+	17533220	17533273	1
chr14	+	17533829	17534410	1
chr14	+	17548783	17551320	1
chr14	+	17550444	17550762	1
chr14	+	17553862	17555355	1
chr14	+	17555479	17555650	1
chr14	+	17555712	17564028	1
chr14	-	17576074	17612708	7
chr14	-	17595485	17595603	1
chr14	-	17598970	17599006	3
chr14	-	17608440	17608652	4
chr14	+	17621896	17626596	5
chr14	+	17629089	17630182	1
chr14	+	17656480	17656602	1
chr14	-	17983011	18076648	1
chr14	-	18025989	18026031	1
chr14	-	18026072	18026277	1
chr14	-	18047315	18047435	1
chr14	-	18076410	18076648	1
chr14	+	18252885	18252962	1
chr14	+	18848636	18848773	1
chr14	+	19069128	19072663	1
chr14	+	19294104	19356005	13
chr14	+	19376271	19382792	23
chr14	+	19376271	19382795	5
chr14	+	19405429	19406239	2
chr14	-	19407406	19409723	1
chr14	+	19420927	19420952	1
chr14	+	19435141	19436357	2
chr14	+	19436462	19436884	1
chr14	+	19439970	19440287	3
chr14	+	19439970	19443558	1
chr14	+	19932939	19935411	3
chr14	-	19953484	19953516	1
chr14	+	19961401	19961431	1
chr14	+	19987843	19987873	2
chr14	+	19987843	19987875	1
chr14	+	19992507	19992551	2
chr14	+	20004277	20004300	1
chr14	+	20062729	20064616	1
chr14	+	20064824	20065889	1
chr14	+	20064824	20065904	1
chr14	+	20483495	20488287	1
chr14	-	20483495	20491357	1
chr14	-	20484862	20485162	1
chr14	-	20496183	20496489	1
chr14	-	20512706	20514817	1
chr14	-	20520963	20542362	1
chr14	-	20550801	20550905	4
chr14	-	20556531	20556650	2
chr14	-	20574477	20576994	1
chr14	+	20580456	20739156	3
chr14	-	20580457	20735434	1
chr14	+	20580457	20736046	2
chr14	+	20580457	20736676	1
chr14	+	20580457	20737546	1
chr14	-	20580457	20737962	1
chr14	-	20580458	20733720	1
chr14	-	20580458	20734793	1
chr14	-	20580458	20734807	1
chr14	+	20580458	20735134	1
chr14	+	20580458	20735381	1
chr14	-	20580458	20735438	1
chr14	+	20580458	20735503	1
chr14	-	20580458	20736071	1
chr14	+	20580458	20736511	3
chr14	+	20580458	20736698	1
chr14	-	20580458	20736765	2
chr14	-	20580458	20737440	1
chr14	-	20580458	20737610	1
chr14	-	20580458	20738123	1
chr14	+	20580458	20738597	1
chr14	+	20580458	20738958	2
chr14	+	20580458	20738995	1
chr14	+	20580458	20739169	1
chr14	+	20580458	20789875	1
chr14	+	20580458	20854855	1
chr14	+	20580458	20881291	1
chr14	+	20580458	20881576	1
chr14	-	20580459	20738764	1
chr14	-	20580460	20859298	1
chr14	+	20580462	20604593	1
chr14	-	20580462	20737188	1
chr14	+	20580462	20738114	2
chr14	-	20587331	20655314	1
chr14	-	20598391	20598438	1
chr14	-	20619328	20644255	3
chr14	+	20619328	20655314	1
chr14	-	20619328	20655341	1
chr14	-	20644351	20655314	3
chr14	-	20733045	20739548	2
chr14	-	20744410	20744434	3
chr14	-	20750024	20816536	1
chr14	-	20769564	20769925	1
chr14	-	20796236	20796495	1
chr14	-	20796247	20796469	1
chr14	+	20805013	20805299	1
chr14	-	20852797	20852819	1
chr14	-	20861814	20861924	1
chr14	-	20892774	20899776	2
chr14	-	20964743	20965737	1
chr14	-	20971211	20971246	1
chr14	-	21040361	21042198	1
chr14	+	21040576	21042198	7
chr14	+	21040627	21042198	2
chr14	+	21042355	21043415	1
chr14	-	21045331	21049643	1
chr14	+	21065460	21066805	6
chr14	-	21068352	21072118	1
chr14	-	21075849	21084870	1
chr14	-	21089149	21091180	1
chr14	-	21089150	21091182	1
chr14	-	21089155	21091180	1
chr14	-	21091252	21091508	1
chr14	-	21097758	21097783	2
chr14	-	21099873	21099894	4
chr14	+	21100866	21101639	2
chr14	-	21103523	21142273	1
chr14	-	21103523	21144315	2
chr14	-	21110001	21110031	2
chr14	-	21127817	21128066	1
chr14	-	21138576	21138614	1
chr14	-	21142444	21144315	1
chr14	+	21155962	21182297	1
chr14	+	21183436	21191450	1
chr14	+	21384295	21634897	1
chr14	-	21530204	21613576	1
chr14	+	21552730	21612359	1
chr14	+	21553916	21709024	1
chr14	+	21567896	21665312	1
chr14	+	21588611	21672830	1
chr14	+	21588920	21673141	1
chr14	+	21611985	21612737	1
chr14	+	21731961	21731985	1
chr14	+	21745587	21829252	1
chr14	-	22219919	22770918	1
chr14	-	22573970	22616540	1
chr14	-	22597528	22645763	1
chr14	-	22633895	22690192	1
chr14	-	22646449	22646482	1
chr14	+	22671293	22678223	1
chr14	-	22699631	22700646	1
chr14	+	22707569	22833341	1
chr14	+	22707572	22833338	1
chr14	+	22707587	22833314	1
chr14	-	22765335	22835637	2
chr14	+	22802912	22833256	1
chr14	+	22802914	22833328	1
chr14	+	22901527	23010860	1
chr14	-	22972811	22974841	2
chr14	+	22972811	22974893	1
chr14	-	22976629	22976725	19
chr14	-	22978040	22979115	3
chr14	-	22980094	22980487	3
chr14	-	22980654	22981469	3
chr14	-	22986822	22987897	6
chr14	+	22991369	22992044	1
chr14	-	22992146	22994676	2
chr14	-	22992146	22997496	4
chr14	-	22997532	23001983	1
chr14	-	23088733	23088852	1
chr14	-	23268467	23268964	2
chr14	-	23268553	23269046	1
chr14	+	23268633	23268681	1
chr14	+	23511105	23513031	1
chr14	+	23548637	23552325	1
chr14	+	23568063	23568299	1
chr14	+	23636378	23639948	1
chr14	+	23661036	23721263	1
chr14	+	23664274	23666712	1
chr14	-	24580466	24902103	1
chr14	-	24581468	24849170	1
chr14	-	24659428	24849170	1
chr14	+	25626715	25751091	1
chr14	+	25673329	25859207	2
chr14	+	25696775	25700327	1
chr14	+	25788584	25789591	1
chr14	+	25865192	25877159	3
chr14	+	25877265	25909289	3
chr14	+	25908835	25908860	1
chr14	-	28157457	28251296	1
chr14	+	28158170	28334916	1
chr14	-	28248164	28364841	3
chr14	-	28363492	28418125	1
chr14	-	28394362	28418125	1
