"groupID"	"featureID"	"exonBaseMean"	"dispersion"	"stat"	"pvalue"	"padj"	"CASE"	"CTRL"	"log2fold_CTRL_CASE"	"genomicData.seqnames"	"genomicData.start"	"genomicData.end"	"genomicData.width"	"genomicData.strand"	"countData.SAMP1"	"countData.SAMP2"	"countData.SAMP3"	"countData.SAMP4"	"countData.SAMP5"	"countData.SAMP6"
"ENSRNOG00000048117:E010"	"ENSRNOG00000048117"	"E010"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	764204	764428	225	"-"	0	0	0	0	0	0
"ENSRNOG00000048117:E011"	"ENSRNOG00000048117"	"E011"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	766386	767192	807	"-"	0	0	0	0	0	0
"ENSRNOG00000048117:E012"	"ENSRNOG00000048117"	"E012"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	767321	767326	6	"-"	0	0	0	0	0	0
"ENSRNOG00000048117:E013"	"ENSRNOG00000048117"	"E013"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	767535	767552	18	"-"	0	0	0	0	0	0
"ENSRNOG00000048117:E014"	"ENSRNOG00000048117"	"E014"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	767553	767835	283	"-"	0	0	0	0	0	0
"ENSRNOG00000048117:E015"	"ENSRNOG00000048117"	"E015"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	767836	767841	6	"-"	0	0	0	0	0	0
"ENSRNOG00000048117:E016"	"ENSRNOG00000048117"	"E016"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	768098	768117	20	"-"	0	0	0	0	0	0
"ENSRNOG00000048117:E017"	"ENSRNOG00000048117"	"E017"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	771193	771212	20	"-"	0	0	0	0	0	0
"ENSRNOG00000048117:E018"	"ENSRNOG00000048117"	"E018"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	773076	773107	32	"-"	0	0	0	0	0	0
"ENSRNOG00000048117:E019"	"ENSRNOG00000048117"	"E019"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	773108	773281	174	"-"	0	0	0	0	0	0
"ENSRNOG00000047582:E001"	"ENSRNOG00000047582"	"E001"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	779169	779980	812	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E002"	"ENSRNOG00000047582"	"E002"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	779981	779981	1	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E003"	"ENSRNOG00000047582"	"E003"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	779982	780003	22	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E004"	"ENSRNOG00000047582"	"E004"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	780022	780052	31	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E005"	"ENSRNOG00000047582"	"E005"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	780053	780067	15	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E006"	"ENSRNOG00000047582"	"E006"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	780068	780151	84	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E007"	"ENSRNOG00000047582"	"E007"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	780152	780190	39	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E008"	"ENSRNOG00000047582"	"E008"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	780191	780227	37	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E009"	"ENSRNOG00000047582"	"E009"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	780406	780408	3	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E010"	"ENSRNOG00000047582"	"E010"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	780409	780429	21	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E011"	"ENSRNOG00000047582"	"E011"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	780430	780436	7	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E012"	"ENSRNOG00000047582"	"E012"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	783523	783532	10	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E013"	"ENSRNOG00000047582"	"E013"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	783533	783548	16	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E014"	"ENSRNOG00000047582"	"E014"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	783549	783576	28	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E015"	"ENSRNOG00000047582"	"E015"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	783577	783594	18	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E016"	"ENSRNOG00000047582"	"E016"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	783616	783635	20	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E017"	"ENSRNOG00000047582"	"E017"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	783709	783732	24	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E018"	"ENSRNOG00000047582"	"E018"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	783733	783789	57	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E019"	"ENSRNOG00000047582"	"E019"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	783790	783856	67	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E020"	"ENSRNOG00000047582"	"E020"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	784035	784069	35	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E021"	"ENSRNOG00000047582"	"E021"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	784098	784110	13	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E022"	"ENSRNOG00000047582"	"E022"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	784335	784458	124	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E023"	"ENSRNOG00000047582"	"E023"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	785620	785622	3	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E024"	"ENSRNOG00000047582"	"E024"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	785623	786215	593	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E025"	"ENSRNOG00000047582"	"E025"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	786217	786477	261	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E026"	"ENSRNOG00000047582"	"E026"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	786478	786500	23	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E027"	"ENSRNOG00000047582"	"E027"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	786501	786504	4	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E028"	"ENSRNOG00000047582"	"E028"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	786523	786525	3	"+"	0	0	0	0	0	0
"ENSRNOG00000047582:E029"	"ENSRNOG00000047582"	"E029"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	786581	786599	19	"+"	0	0	0	0	0	0
"ENSRNOG00000045591:E001"	"ENSRNOG00000045591"	"E001"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	812382	812587	206	"+"	0	0	0	0	0	0
"ENSRNOG00000045591:E002"	"ENSRNOG00000045591"	"E002"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	815175	815457	283	"+"	0	0	0	0	0	0
"ENSRNOG00000045591:E003"	"ENSRNOG00000045591"	"E003"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	817799	818581	783	"+"	0	0	0	0	0	0
"ENSRNOG00000045591:E004"	"ENSRNOG00000045591"	"E004"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	819950	819969	20	"+"	0	0	0	0	0	0
"ENSRNOG00000045591:E005"	"ENSRNOG00000045591"	"E005"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	819972	819981	10	"+"	0	0	0	0	0	0
"ENSRNOG00000045591:E006"	"ENSRNOG00000045591"	"E006"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	819982	820035	54	"+"	0	0	0	0	0	0
"ENSRNOG00000045591:E007"	"ENSRNOG00000045591"	"E007"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	820036	820046	11	"+"	0	0	0	0	0	0
"ENSRNOG00000045591:E008"	"ENSRNOG00000045591"	"E008"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	820047	820049	3	"+"	0	0	0	0	0	0
"ENSRNOG00000045591:E009"	"ENSRNOG00000045591"	"E009"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	820050	820050	1	"+"	0	0	0	0	0	0
"ENSRNOG00000045591:E010"	"ENSRNOG00000045591"	"E010"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	820051	820080	30	"+"	0	0	0	0	0	0
"ENSRNOG00000045591:E011"	"ENSRNOG00000045591"	"E011"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	820083	820115	33	"+"	0	0	0	0	0	0
"ENSRNOG00000045591:E012"	"ENSRNOG00000045591"	"E012"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	820118	820301	184	"+"	0	0	0	0	0	0
"ENSRNOG00000045591:E013"	"ENSRNOG00000045591"	"E013"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	821474	822360	887	"+"	0	0	0	0	0	0
"ENSRNOG00000046835:E001"	"ENSRNOG00000046835"	"E001"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	900696	900901	206	"+"	0	0	0	0	0	0
"ENSRNOG00000046835:E002"	"ENSRNOG00000046835"	"E002"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	906000	906288	289	"+"	0	0	0	0	0	0
"ENSRNOG00000046835:E003"	"ENSRNOG00000046835"	"E003"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	906642	907445	804	"+"	0	0	0	0	0	0
"ENSRNOG00000046835:E004"	"ENSRNOG00000046835"	"E004"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	908198	908422	225	"+"	0	0	0	0	0	0
"ENSRNOG00000046835:E005"	"ENSRNOG00000046835"	"E005"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	916247	916370	124	"+"	0	0	0	0	0	0
"ENSRNOG00000046835:E006"	"ENSRNOG00000046835"	"E006"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	923283	923395	113	"+"	0	0	0	0	0	0
"ENSRNOG00000046835:E007"	"ENSRNOG00000046835"	"E007"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	923398	923574	177	"+"	0	0	0	0	0	0
"ENSRNOG00000046835:E008"	"ENSRNOG00000046835"	"E008"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	923576	923802	227	"+"	0	0	0	0	0	0
"ENSRNOG00000046835:E009"	"ENSRNOG00000046835"	"E009"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	972847	973231	385	"+"	0	0	0	0	0	0
"ENSRNOG00000040210:E001"	"ENSRNOG00000040210"	"E001"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	1007495	1007697	203	"+"	0	0	0	0	0	0
"ENSRNOG00000040210:E002"	"ENSRNOG00000040210"	"E002"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	1013317	1013623	307	"+"	0	0	0	0	0	0
"ENSRNOG00000040210:E003"	"ENSRNOG00000040210"	"E003"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	1014014	1014817	804	"+"	0	0	0	0	0	0
"ENSRNOG00000040210:E004"	"ENSRNOG00000040210"	"E004"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	1016421	1016645	225	"+"	0	0	0	0	0	0
"ENSRNOG00000040210:E005"	"ENSRNOG00000040210"	"E005"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	1018815	1018938	124	"+"	0	0	0	0	0	0
"ENSRNOG00000040210:E006"	"ENSRNOG00000040210"	"E006"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	1020096	1020982	887	"+"	0	0	0	0	0	0
"ENSRNOG00000033073:E001"	"ENSRNOG00000033073"	"E001"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	1106463	1106668	206	"+"	0	0	0	0	0	0
"ENSRNOG00000033073:E002"	"ENSRNOG00000033073"	"E002"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	1107654	1107936	283	"+"	0	0	0	0	0	0
"ENSRNOG00000033073:E003"	"ENSRNOG00000033073"	"E003"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	1108297	1109103	807	"+"	0	0	0	0	0	0
"ENSRNOG00000033073:E004"	"ENSRNOG00000033073"	"E004"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	1109988	1110212	225	"+"	0	0	0	0	0	0
"ENSRNOG00000033073:E005"	"ENSRNOG00000033073"	"E005"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	1111120	1111243	124	"+"	0	0	0	0	0	0
"ENSRNOG00000033073:E006"	"ENSRNOG00000033073"	"E006"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	1112415	1113322	908	"+"	0	0	0	0	0	0
"ENSRNOG00000031928:E001"	"ENSRNOG00000031928"	"E001"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	1318157	1318864	708	"+"	0	0	0	0	0	0
"ENSRNOG00000031928:E002"	"ENSRNOG00000031928"	"E002"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	1320345	1320569	225	"+"	0	0	0	0	0	0
"ENSRNOG00000031928:E003"	"ENSRNOG00000031928"	"E003"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	1321485	1321608	124	"+"	0	0	0	0	0	0
"ENSRNOG00000031928:E004"	"ENSRNOG00000031928"	"E004"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	1322758	1323644	887	"+"	0	0	0	0	0	0
"ENSRNOG00000040213:E001"	"ENSRNOG00000040213"	"E001"	21.5232287298195	0.00674993370196557	4.16787636156566	0.0411974061659676	0.557456651090651	8.95607637690895	7.98293863425673	-0.335357219265311	"chr14"	1355004	1355130	127	"+"	20	19	25	20	26	20
"ENSRNOG00000040213:E002"	"ENSRNOG00000040213"	"E002"	13.0560182697179	0.00880161918326189	4.05840901308817	0.0439518909183963	0.564890195480639	5.83600990650785	7.08721152161587	0.563871833119234	"chr14"	1355488	1355552	65	"+"	11	3	13	17	23	12
"ENSRNOG00000058018:E001"	"ENSRNOG00000058018"	"E001"	2.82074386570774	0.0721684631501043	0.813156942990844	0.36718854257077	NA	3.01791619501023	3.07760963877848	0.0565916080170676	"chr14"	1438154	1438929	776	"-"	1	3	3	4	4	2
"ENSRNOG00000058018:E002"	"ENSRNOG00000058018"	"E002"	0.161204933298572	0.508307324254665	0.611107441973957	0.434371143131361	NA	1.14006946988273	0.0401286940911518	-9.65696075672648	"chr14"	1439912	1440030	119	"-"	0	1	0	0	0	0
"ENSRNOG00000052352:E001"	"ENSRNOG00000052352"	"E001"	2.45782654836916	0.0435686179310759	1.1724728066203	0.278893727333683	NA	2.85716456094828	2.3335594503276	-0.58467595127506	"chr14"	1445874	1446029	156	"+"	5	3	4	2	0	1
"ENSRNOG00000052352:E002"	"ENSRNOG00000052352"	"E002"	1.17673836562335	0.0649782132327415	1.13258518377604	0.28722458558903	NA	1.65074880818041	2.3346678398655	1.00076722921355	"chr14"	1446032	1446106	75	"+"	1	2	1	2	0	1
"ENSRNOG00000049828:E001"	"ENSRNOG00000049828"	"E001"	17.8969665452293	0.115643020092092	0.466345729046282	0.494673125150499	0.944648259486281	8.10133636274341	7.22518731816372	-0.333072286624273	"chr14"	1456844	1457139	296	"-"	30	19	19	23	14	5
"ENSRNOG00000049828:E002"	"ENSRNOG00000049828"	"E002"	6.2178847758797	0.00830428569682091	0.00886897923583518	0.924969938594266	NA	4.63401064447976	4.48491476164793	-0.0946476697494085	"chr14"	1457482	1457566	85	"-"	10	5	7	6	6	4
"ENSRNOG00000049828:E003"	"ENSRNOG00000049828"	"E003"	2.27454768655882	0.0371181195279648	2.45824845601393	0.116909083439246	NA	3.27519013480268	1.94726055558948	-1.5017252955455	"chr14"	1457690	1457816	127	"-"	6	4	1	1	0	2
"ENSRNOG00000049828:E004"	"ENSRNOG00000049828"	"E004"	9.22245999206794	0.00871933673453494	0.621614831936427	0.430447836640948	NA	5.31832212120578	5.82000434221125	0.261273590081936	"chr14"	1458254	1458416	163	"-"	10	11	8	5	12	10
"ENSRNOG00000049828:E005"	"ENSRNOG00000049828"	"E005"	17.0744537260021	0.00553184506455557	2.04491416929191	0.152715597152399	0.777806146987375	7.11181344234424	7.98364631880456	0.33642700672158	"chr14"	1458563	1458696	134	"-"	18	14	20	17	18	16
"ENSRNOG00000049828:E006"	"ENSRNOG00000049828"	"E006"	11.0061827976684	0.00492747506503931	0.928331974563363	0.335296735855191	0.905404014366714	6.39386604711403	5.60310864440527	-0.382917404211217	"chr14"	1459456	1459616	161	"-"	17	13	12	6	9	10
"ENSRNOG00000049828:E007"	"ENSRNOG00000049828"	"E007"	5.90275073222296	0.0139718022635566	0.253371954816629	0.614710724639277	NA	4.30641285879324	4.62233853747905	0.204866146947081	"chr14"	1460131	1460242	112	"-"	8	7	4	2	8	7
"ENSRNOG00000049828:E008"	"ENSRNOG00000049828"	"E008"	3.16628892283046	0.21408966167764	0.0309624433728146	0.860324202639778	NA	3.11782865564344	3.38928529091437	0.241250665907638	"chr14"	1461356	1461543	188	"-"	4	5	1	0	3	6
"ENSRNOG00000049782:E001"	"ENSRNOG00000049782"	"E001"	1.65383104301021	0.0420667929036146	1.5910438226423	0.207177064069261	NA	2.77939695061528	1.8322957581213	-1.20315846903093	"chr14"	1462358	1462380	23	"+"	4	3	0	0	0	3
"ENSRNOG00000049782:E002"	"ENSRNOG00000049782"	"E002"	1.81523718807017	0.0342482378339941	2.32428329428674	0.127368872489812	NA	2.97177337701345	1.83161026438169	-1.39757598359105	"chr14"	1463352	1463358	7	"+"	5	2	1	0	0	3
"ENSRNOG00000049782:E003"	"ENSRNOG00000049782"	"E003"	1.81523718807017	0.0342482378339941	2.32428329428674	0.127368872489812	NA	2.97177337701345	1.83161026438169	-1.39757598359105	"chr14"	1463359	1463428	70	"+"	5	2	1	0	0	3
"ENSRNOG00000049782:E004"	"ENSRNOG00000049782"	"E004"	2.47954455998613	0.0216393722729616	0.0879608403482166	0.766785709348267	NA	2.97297656632061	2.79433121909419	-0.179026984151336	"chr14"	1463532	1463698	167	"+"	4	4	0	1	2	4
"ENSRNOG00000049782:E005"	"ENSRNOG00000049782"	"E005"	2.57257447752632	0.140798328882723	0.371851117308353	0.541996975632061	NA	2.57492731568333	3.31049907820362	0.72594529884097	"chr14"	1463829	1463946	118	"+"	2	3	1	1	7	2
"ENSRNOG00000049782:E006"	"ENSRNOG00000049782"	"E006"	3.28129790694191	0.0907507264804032	0.0117229472092362	0.913779488727125	NA	3.3267604801914	3.3301812376647	0.00297018490562895	"chr14"	1464556	1464685	130	"+"	2	6	2	2	5	3
"ENSRNOG00000049782:E007"	"ENSRNOG00000049782"	"E007"	2.69410901690651	0.0315739059799131	0.328349947788752	0.566632317739025	NA	3.15393840682292	2.79809984330845	-0.345859904148794	"chr14"	1464801	1464967	167	"+"	3	5	1	1	1	5
"ENSRNOG00000049782:E008"	"ENSRNOG00000049782"	"E008"	3.44389209391304	0.0195344315525942	0.0761441255930961	0.782592422050499	NA	3.48683501482519	3.33606684881687	-0.12775632027503	"chr14"	1465703	1465830	128	"+"	4	5	2	3	4	3
"ENSRNOG00000049782:E009"	"ENSRNOG00000049782"	"E009"	1.96899266226526	0.146190311835315	0.260956465048451	0.609463810764171	NA	2.34774922985029	2.7912824101342	0.49977937369419	"chr14"	1466049	1466078	30	"+"	3	1	1	4	2	1
"ENSRNOG00000049782:E010"	"ENSRNOG00000049782"	"E010"	2.27725766072473	0.0218916246287003	0.294567400356748	0.587308389908967	NA	2.97290234701613	2.58564201875097	-0.403152176048044	"chr14"	1466251	1466386	136	"+"	5	2	1	2	2	2
